event_id,industry,industry_is_kicox_class,industry_mapping_uncertain,company_or_scope,analysis_unit,event_date,event_date_precision,event_quarter,quarter_is_range,event_type,employment_related,production_related,changwon_related,changwon_national_complex_related,complex_membership_verified,evidence_grade,source_type,source_title,source_date,source_url,direct_quote_or_fact,industry_mapping_confidence,timing_confidence,event_classification,label_usable,label_block_reason,notes
EV-01,운송장비,True,False,한국GM 창원공장,firm,2022-07-11,week_estimated,2022Q3,False,공급망충격_조업중단,unknown,True,True,assumed_true,False,B,주요언론,"한국GM, 부품사 납품 거부…창원·부평2공장 가동 중단",2022-07-20,https://edaily.co.kr/News/Read?mediaCodeNo=257&newsId=03831046632396488,한국GM은 지난주 초부터 부품 수급 문제가 발생해 창원·부평2공장 생산라인 가동을 멈춘 것으로 알려졌다. 창원공장 스파크 약 3만대 생산 중단. 원인은 부품사 이래AMS의 단가 인상 요구에 따른 공급 거부.,high,low,core_validation_event,provisional,① KICOX 입주기업 명부로 산단 입주 미확인 ② 해당 기업의 운송장비 업종 내 생산비중 미확보,기업 단위 사건. 업종 단위 라벨로 승격하려면 두 차단사유 모두 해소 필요. 개시일은 '지난주 초'라는 표현에서 추정.
EV-02,철강,True,False,현대비앤지스틸,firm,2023-01-01/2023-12-31,year_range,2023Q1-2023Q4,True,실적악화_비상경영전환,False,circumstantial,True,assumed_true,False,B,산업전문지,현대비앤지스틸 58기 주주총회 '비상경영체계 전환',2024-03-27,https://www.steeldaily.co.kr/news/articleView.html?idxno=182659,"2023년 매출 1조 444억(전년비 약 -18%), 영업손실 353억, 당기순손실 306억. 2024-03-26 창원 본사 제58기 주총에서 '수익성 중심의 최적 생산 최적 판매 전략으로 전환' 발표.",high,medium,supplementary_event,False,"발생분기 미특정(연간), 감산량·고용조정 수치 없음",발표일 2024-03-26(2024Q1)과 실적악화 기간(2023 연간)이 분리됨. DART 공시 원문 미대조로 A 미승급.
EV-03,운송장비,True,False,한국지엠 창원공장,firm,2024-03-24,exact_day,2024Q1,False,일회성외생충격_정전조업중단,False,True,True,assumed_true,False,B,주요언론,"'하루 1000대 생산' 한국지엠 창원공장, 정전으로 이틀째 가동 중단",2024-03-26,https://www.seoul.co.kr/news/economy/industry/2024/03/26/20240326500148,"2024-03-24 06:40 정전 발생, 3월 25일부터 이틀 조업중단. 원인은 한국지엠 소유 지중 송전선로 고장. 일 약 1,000대(트랙스 크로스오버) 생산 중단.",high,high,unusable_event,False,일회성 외생충격(설비사고). 산업·고용 국면과 무관,시점·영향이 가장 명확하지만 구조적 악화 신호가 아님. 검증용 핵심 라벨에서 완전 분리.
EV-04,운송장비,True,False,한국지엠 창원공장,firm,2024-04-30,month_end_estimated,2024Q2,False,생산라인_종료_해외이전,unknown,True,True,assumed_true,False,B-,주요언론_단독,(단독) 한국지엠 창원공장 엔진 생산 멈춘다…GM 투자는 '요원',2024-04-09,https://www.newstomato.com/readnews.aspx?no=1226475,'이달 말까지만 1.5 엔진을 생산한다'. 1.5L SGE 엔진은 이후 미국 페어팩스 공장 생산. 생산량 10만대 → 2023년 8만대로 축소된 상태였음.,high,medium,supplementary_event,False,"단독보도 1건, 기업 공식확인 미확보(복수출처 요건 미충족)",사건 성격은 명확하나 근거 요건 미달로 B- 부여.
EV-05,미상,False,True,신화프리텍(창원시 성산구),firm,2025-09-23,exact_day,2025Q3,False,고용분쟁_해고,True,False,True,unknown,False,B,지역언론,신화프리텍 해고자 9명 353일 만에 복직,2026-09-08,https://www.idomin.com/news/articleView.html?idxno=2014366,2025-09-23 노동자 9명 해고. 지방·중앙노동위 모두 부당해고 판정. 2026-09-10 복직(353일).,low,high,unusable_event,False,"KICOX 업종 매핑 불확실, 산단 입주 미확인, 노사분쟁 성격(업황 악화 지표 아님)",금속가공/자동차부품 추정이나 기계·운송장비·기타 중 확정 불가.
EV-06,해당없음,False,False,한국지엠 창원 직영 정비서비스센터,firm,2026-02-15,exact_day,2026Q1,False,사업장_폐쇄,True,False,True,False,False,B,전문언론,"한국지엠의 일방통행, 어디까지?",2026-02-04,https://www.laborplus.co.kr/news/articleView.html?idxno=40298,전국 직영 정비서비스센터 9곳(서울동부·서울·인천·원주·대전·전주·광주·창원·부산) 2026-02-15 폐쇄.,n/a,high,unusable_event,False,"제조업 외(정비서비스), 창원국가산단 외",산단 업종 패널과 무관.
EV-07,운송장비;기계;철강,True,True,창원 부품 협력사(집합),industry,2025,year,2025Q2-2025Q4,True,수주_수출감소_관세충격,unknown,circumstantial,True,unknown,False,C,지역언론_연말결산,2025 경남 경제 10대 뉴스,2025-12-18,https://m.knnews.co.kr/mView.php?idxno=1477749,"한미 상호관세 15% 적용 시 경남 대미 수출 약 4,990억원 감소 전망(자동차 1,370억, 일반기계 1,200억, 항공 820억, 고무 360억, 조립금속 210억). '창원과 김해의 완성차 수출 감소로 중소 부품 협력사가 연쇄적인 타격'.",medium,low,supplementary_event,False,"전망치, 사업장 미특정, 산단 귀속 불가",실현치가 아닌 추정 전망. 맥락 자료로만 사용.
EV-08,전기전자;기계;운송장비,True,True,창원시 전체 수출,region,2025,year,2025Q1-2025Q4,True,지표악화_수출감소,False,circumstantial,True,False,False,C,지역언론(한국무역협회 통계),2025년 창원 전년보다 수출 소폭 줄고 수입 늘어,2026-02-11,https://www.idomin.com/news/articleView.html?idxno=956347,"수출 226억 3,898만 달러(전년비 -0.7%). 가정용 전자제품 -19.9%, 기초 산업기계 -12.1%, 기계요소·공구·금형 -10.8%, 수송기계(조선 제외) -9.3%. 무기류 +29.0%, 전자기기 +3.2%, 산업기계 +0.4%.",medium,high,supplementary_event,False,"창원시 단위(산단 외 사업장 포함), 사건이 아닌 지표",통계 신뢰도는 높으나 업종×분기 라벨로 분해 불가.
EV-09,전체,False,True,창원국가산단+마산자유무역지역,region,2010/2023,multi_year,기간초과,True,장기_구조축소,circumstantial,circumstantial,True,True,False,C,지역언론_토론기사,"쪼그라든 창원 제조업, 어디로 어떻게 가야 발전할까",,https://www.idomin.com/news/articleView.html?idxno=933129,"창원국가산단+마산자유무역지역 생산의 GDP 비중 2010년 4.2% → 2023년 2.6%. 1~2차 협력사 투자 정체, 대기업 정규직 축소.",n/a,n/a,unusable_event,False,"분석기간 초과, 업종·분기 미특정",구조 배경 자료.
EV-10,전체,False,True,화물연대 파업(전국),national,2022-06 / 2022-11~12,month_range,2022Q2;2022Q4,True,공급망충격_물류차질,unknown,unknown,unknown,unknown,False,X,전국언론,2022년 화물연대 파업 관련 보도(창원 귀속 자료 미확보),2022,https://eiec.kdi.re.kr/bigdata/emergingView.do?bidx=22&pg=1&pp=5,전국·부산 단위 모니터링 자료만 확인. 창원국가산단 업종별 생산차질 자료 미확보.,n/a,medium,unusable_event,False,창원 귀속 미확인(evidence_grade=X),추가 조사 시 승급 가능성 있음.
