dataset_id,dataset,role,direct_measure,indirect_signal,cannot_claim,limitations,promotion_condition,input_path,code_reference,exists
kicox_production,KICOX 창원국가산단 업종별 생산,CORE,업종별 명목 생산액,생산 방향·변화율,실질 생산량이나 가격효과의 원인,가격효과가 섞이고 일부 공표구간은 보정본,물량지수 또는 산단 업종별 실질생산 공식통계 확보,data/processed/kicox/changwon_industry_master.csv,build_changwon_master → build_kicox_analysis_panel → run_triage_rule,True
kicox_employment,KICOX 창원국가산단 업종별 고용,CORE,산단 입주기업 종사자 수,고용 증감·비중·기여,실업·이직·직무 미스매치의 원인,분기말 집계이며 기업별 분포는 없음,현행 CORE 유지; 기업별 확인은 Human Review에서 수행,data/processed/kicox/changwon_industry_master.csv,build_changwon_master → build_kicox_analysis_panel → run_triage_rule,True
kicox_operation,KICOX 가동률,CONTEXT,산단 가동률,조업 위축 여부,생산량·전력량·휴업 원인,2024Q2 전후 정의 단절 구간 존재,정의가 일관된 장기 시계열과 산식 확보,data/processed/kicox/changwon_industry_master.csv,build_context_layer (Triage 비입력),True
kicox_firms,KICOX 입주업체·가동업체,CONTEXT,입주·가동 업체 수,업체 구성·가동상태 변화,폐업·퇴거·합병 등 개별 사건,소규모 업종은 비율 변동이 큼,기업 이벤트 시계열과 산단 경계 식별자 확보,data/processed/kicox/changwon_industry_master.csv,build_context_layer (Triage 비입력),True
ppi,생산자물가지수(PPI),VALIDATION,전국 품목별 생산자가격,명목 생산변화의 가격효과 가능성,창원산단 실질생산량,전국지수·업종 매핑 A~D 혼재,산단 품목가중치와 안정된 A/B 매핑 확보,data/processed/ppi/ppi_validation_panel.csv,build_context_layer → PPI 조정 부호·경계 비교,True
eis_cci,EIS 및 창원상의 고용보험 피보험자,VALIDATION,창원시 고용보험 피보험자,KICOX 고용 방향의 제한적 교차확인,산단 고용 수준·점유율 또는 전체 10업종,창원시 전역; 업종 비교는 3개 업종·21행,산단 식별 가능한 10업종 분기 패널 확보,data/processed/eis/eis_validation_panel.csv,build_context_layer → employment_crosscheck_panel,True
customs_trade,관세청 창원시 HS6 수출입,CONTEXT,확인된 HS6 품목의 창원시 통관액,외부수요 방향,업종 총수출 또는 산단 수출,창원시 전역·부분 품목·HS→업종 매핑,전수 HS6 대응표와 산단 귀속 기준 확보,data/processed/customs/trade_context_panel.csv,build_context_layer → external questions,True
kepco_business_type,KEPCO 기존 businessType 전력,CONTEXT,창원시/5개 구 전력사용량,조업활동 보조 방향,산단 생산량 또는 정확한 KICOX 업종 전력,"비공식 업종분류, 산단 경계 아님, 방향 일치 50~55%",공식 업종코드·산단 경계·안정된 검증력 확보,data/processed/kepco/kepco_power_quarterly_panel.csv,build_context_layer → activity context,True
kepco_legal_dong_ksic,KEPCO 법정동×KSIC 전력,CONTEXT,18개 제조업 집적 법정동의 공개 셀 전력,공간·업종별 조업 맥락,산단 또는 업종 전체 전력사용량,"2022-04~2026-03, 비식별 40.47%, 업종합계 COMPLETE 0, 2026Q2 없음","공식 산단 경계, 비식별 해소, 완전분기와 최신분기 확보",data/processed/kepco/legal_dong_ksic_quarterly_panel.csv,final external evidence: 품질정보만; 공개 셀 합계 미사용,True
changwon_jobs,고용24 창원·마산 고용복지+센터 공개 채용정보(Work24 canonical),CONTEXT,"수집시점에 게시 중이던 공개 채용공고(창원시 5개 구 2,045건, 2026-09-19 단면)",판정 이후 해당 업종에서 어떤 기업이 어떤 직무를 공개채용 중인지 확인하는 단서,"고용 증가, 업종별 채용수요 규모, 구인율, 과거 추세, 모집인원","등록일 2026-07-21~09-18 의 2026Q3 단일분기로 모형 최종시점 2026Q2 와 overlap 0; recruitment_count 0%; KICOX 매핑 663/2,045(기업매칭 성립분에 한정); 구별 기업매칭률 14.4~43.2% 선택편향; 산업단지 MATCH 0(POSSIBLE 은 소재 확정 아님); 60일 롤링 게시창에 따른 생존편향",반복 snapshot 누적으로 업종×분기 패널을 만들고 모집인원·직종코드를 공식 경로로 확보,data/processed/work24/work24_analysis_ready.csv,"post-period corroboration / follow-up evidence / field-check support; Triage 정량 입력 아님, 업종 점수 산출·자동 승격/하향 미사용",True
