figure_id,category,label,value,unit,source_file,source_column,source_row_filter,caveat,allowed_phrasing,run_id,run_started_at,input_sha256,prereg_sha256,prereg_status,prereg_amendment_ids,phase
F01,SCOPE,업종 수,10,count,data/processed/model/electre_input_panel.csv,industry,nunique,창원국가산단 KICOX 분류 기준 업종 구분이며 전국 산업 분류와 다를 수 있다.,창원국가산단 10개 업종을 대상으로 했습니다.,20260918T043719795387Z-ce09d511,2026-09-18T04:37:19.795387+00:00,58499908a6af50344a1362c55c840a58cfd80d4373c7098c4c97a9e0271a573b,5c4f3e8664f0eac3c43a9437996398a5a7c7a131db20afc8bf6b751a84eb870c,REGISTERED,"AM1,AM2,AM3,AM4,AM5,AM6",6
F02,SCOPE,분기 수,18,count,data/processed/model/electre_input_panel.csv,quarter,nunique,"2022Q1~2026Q2, 균등 패널이다.",2022년 1분기부터 2026년 2분기까지 18개 분기를 봤습니다.,20260918T043719795387Z-ce09d511,2026-09-18T04:37:19.795387+00:00,58499908a6af50344a1362c55c840a58cfd80d4373c7098c4c97a9e0271a573b,5c4f3e8664f0eac3c43a9437996398a5a7c7a131db20afc8bf6b751a84eb870c,REGISTERED,"AM1,AM2,AM3,AM4,AM5,AM6",6
F03,SCOPE,전체 행수,180,rows,data/processed/model/electre_input_panel.csv,,len,10업종×18분기의 균등 패널이며 표본 크기의 충분성을 뜻하지 않는다.,업종×분기 180개 관측치를 구성했습니다.,20260918T043719795387Z-ce09d511,2026-09-18T04:37:19.795387+00:00,58499908a6af50344a1362c55c840a58cfd80d4373c7098c4c97a9e0271a573b,5c4f3e8664f0eac3c43a9437996398a5a7c7a131db20afc8bf6b751a84eb870c,REGISTERED,"AM1,AM2,AM3,AM4,AM5,AM6",6
F04,SCOPE,완전관측 행수,160,rows,data/processed/model/electre_input_panel.csv,g1_emp_abs_decline 등 4개 기준,notna 전부,나머지는 결측으로 판정불가(UNDETERMINED) 처리했다.,완전관측 160행을 판정 대상으로 삼았습니다.,20260918T043719795387Z-ce09d511,2026-09-18T04:37:19.795387+00:00,58499908a6af50344a1362c55c840a58cfd80d4373c7098c4c97a9e0271a573b,5c4f3e8664f0eac3c43a9437996398a5a7c7a131db20afc8bf6b751a84eb870c,REGISTERED,"AM1,AM2,AM3,AM4,AM5,AM6",6
F05,SCOPE,판별표본 행수,89,rows,outputs/tables/electre_c3_diagnosis.csv,n_discriminating,,"강제 관찰 71행을 제외한, 파라미터 선택에 따라 등급이 갈릴 수 있는 행이다.",판별표본 89행을 기준으로 강건성을 봤습니다.,20260918T043719795387Z-ce09d511,2026-09-18T04:37:19.795387+00:00,58499908a6af50344a1362c55c840a58cfd80d4373c7098c4c97a9e0271a573b,5c4f3e8664f0eac3c43a9437996398a5a7c7a131db20afc8bf6b751a84eb870c,REGISTERED,"AM1,AM2,AM3,AM4,AM5,AM6",6
F06,STRUCTURE,강제 관찰 행수,71,rows,outputs/tables/electre_boundary_profile_findings.csv,n_forced_observe,finding_id=BP3,g1=g2=g4=0(고용 감소 증거 전혀 없음)인 행은 파라미터와 무관하게 항상 관찰이다.,고용 감소 증거가 전혀 없는 71개 관측치는 파라미터 선택과 무관하게 항상 관찰 단계입니다.,20260918T043719795387Z-ce09d511,2026-09-18T04:37:19.795387+00:00,58499908a6af50344a1362c55c840a58cfd80d4373c7098c4c97a9e0271a573b,5c4f3e8664f0eac3c43a9437996398a5a7c7a131db20afc8bf6b751a84eb870c,REGISTERED,"AM1,AM2,AM3,AM4,AM5,AM6",6
F07_기준,STRUCTURE,기준 시나리오 단순개수규칙과 다른 기준조합 수,1,count,(런타임 계산) electre.enumerate_coalitions,n_disagree,scenario_id=기준,16개 기준조합(2^4) 중 가중 규칙과 단순 과반수 규칙의 배정이 다른 고유 조합 수다.,기준 시나리오는 16개 기준조합 중 1개에서만 단순 개수규칙과 다릅니다.,20260918T043719795387Z-ce09d511,2026-09-18T04:37:19.795387+00:00,58499908a6af50344a1362c55c840a58cfd80d4373c7098c4c97a9e0271a573b,5c4f3e8664f0eac3c43a9437996398a5a7c7a131db20afc8bf6b751a84eb870c,REGISTERED,"AM1,AM2,AM3,AM4,AM5,AM6",6
F07_고용중시,STRUCTURE,고용중시 시나리오 단순개수규칙과 다른 기준조합 수,5,count,(런타임 계산) electre.enumerate_coalitions,n_disagree,scenario_id=고용중시,16개 기준조합(2^4) 중 가중 규칙과 단순 과반수 규칙의 배정이 다른 고유 조합 수다.,고용중시 시나리오는 16개 기준조합 중 5개에서만 단순 개수규칙과 다릅니다.,20260918T043719795387Z-ce09d511,2026-09-18T04:37:19.795387+00:00,58499908a6af50344a1362c55c840a58cfd80d4373c7098c4c97a9e0271a573b,5c4f3e8664f0eac3c43a9437996398a5a7c7a131db20afc8bf6b751a84eb870c,REGISTERED,"AM1,AM2,AM3,AM4,AM5,AM6",6
F07_지속성중시,STRUCTURE,지속성중시 시나리오 단순개수규칙과 다른 기준조합 수,3,count,(런타임 계산) electre.enumerate_coalitions,n_disagree,scenario_id=지속성중시,16개 기준조합(2^4) 중 가중 규칙과 단순 과반수 규칙의 배정이 다른 고유 조합 수다.,지속성중시 시나리오는 16개 기준조합 중 3개에서만 단순 개수규칙과 다릅니다.,20260918T043719795387Z-ce09d511,2026-09-18T04:37:19.795387+00:00,58499908a6af50344a1362c55c840a58cfd80d4373c7098c4c97a9e0271a573b,5c4f3e8664f0eac3c43a9437996398a5a7c7a131db20afc8bf6b751a84eb870c,REGISTERED,"AM1,AM2,AM3,AM4,AM5,AM6",6
F08,VALIDATION,이진 기준선 순위연관(CAL/HOLD/ALL),0.7995/0.6190/0.7501,spearman,config/model_revalidation_prereg.yaml,invalidated_gates[IG1].reason,,"""현재 고용이 감소 중인가"" 이진변수의 next_negative_state 예측 순위연관이며, 이 타깃 자체를 폐기한 근거다(IG1).",calibration/holdout next_negative_state 기반 후보 선택 및 채택 판정,20260918T043719795387Z-ce09d511,2026-09-18T04:37:19.795387+00:00,58499908a6af50344a1362c55c840a58cfd80d4373c7098c4c97a9e0271a573b,5c4f3e8664f0eac3c43a9437996398a5a7c7a131db20afc8bf6b751a84eb870c,REGISTERED,"AM1,AM2,AM3,AM4,AM5,AM6",6
