rule_name,definition,threshold,role,source_category,source_url,source_note,reason_for_adaptation,checked_at
E,"max(0, -KICOX 분기말 고용 YoY)",5% / 10%,고용 진입·상위 신호,PRINCIPLE_ADAPTED,https://www.law.go.kr/LSW/admRulInfoP.do?admRulSeq=2100000278624&chrClsCd=010201,"2026.5.4 시행 고용위기지역 고시 제3조①2호 5%, ④2호 10% 확인. 지역 피보험자 최근 6개월 평균을 업종 종사자 분기말 YoY로 변경. 다른 법정 결합요건·심의절차를 재현하지 않음.","2026.5.4 시행 고용위기지역 고시 제3조①2호 5%, ④2호 10% 확인. 지역 피보험자 최근 6개월 평균을 업종 종사자 분기말 YoY로 변경. 다른 법정 결합요건·심의절차를 재현하지 않음.",2026-09-18
R_entry,"max(0, 산단 제조업 전체 YoY - 업종 YoY)",5%p,상대 열위 진입,PRINCIPLE_ADAPTED,https://m.work24.go.kr/cm/c/f/1100/selecSystInfo.do?systClId=SC00000364&systCnntId=CI00001365&systId=SI00000375,공식 비교는 모든 업종 피보험자 평균. 본 모형은 동일 산단 제조업 10개 업종 합계와 비교.,공식 비교는 모든 업종 피보험자 평균. 본 모형은 동일 산단 제조업 10개 업종 합계와 비교.,2026-09-18
R_up,R과 동일,10%p,상대 열위 상위,PROJECT_OPERATIONAL,,10%p 상위 경계의 직접 조문 근거 없음. 진입 경계와 출처 분리.,10%p 상위 경계의 직접 조문 근거 없음. 진입 경계와 출처 분리.,2026-09-18
A,"max(0, 전년동기 고용 - 현재 고용) / 현재 산단 제조업 고용 × 100",1% / 2%,규모효과 진입·상위,PROJECT_OPERATIONAL,,현재 산단 고용 100명당 전년동기 대비 감소인원 1/2명에 해당. 최적값·정책기준 아님. 대형 업종 영향 큼.,현재 산단 고용 100명당 전년동기 대비 감소인원 1/2명에 해당. 최적값·정책기준 아님. 대형 업종 영향 큼.,2026-09-18
P,"max(0, -명목 분기 생산액 YoY)",5%,상위단계 보강,PRINCIPLE_ADAPTED,https://www.law.go.kr/LSW/admRulLsInfoP.do?admRulSeq=2100000255684,현행 제2조는 전년 및 전전년 동기 생산액/생산량 등 결합요건. 본 모형은 명목 생산액 전년동기 비교만 사용하며 가격·물량 분해 불가.,현행 제2조는 전년 및 전전년 동기 생산액/생산량 등 결합요건. 본 모형은 명목 생산액 전년동기 비교만 사용하며 가격·물량 분해 불가.,2026-09-18
repeated_employment_entry_signal,현재 및 실제 직전 달력분기에 E/R/A 진입신호 존재,연속 2분기,Q3 시간축 보강,PRINCIPLE_ADAPTED,https://www.law.go.kr/LSW/admRulLsInfoP.do?admRulSeq=2100000209796,"지속성 원리 참고. 고시 월별 지속요건, 기존 g4 음의 고용 YoY 연속길이, 동일 Q1 상태 run_length와 모두 다름.","지속성 원리 참고. 고시 월별 지속요건, 기존 g4 음의 고용 YoY 연속길이, 동일 Q1 상태 run_length와 모두 다름.",2026-09-18
scale_gate,현재 업종 고용이 기준 이상,300인,우선점검 진입만 제한,PRINCIPLE_ADAPTED,https://www.law.go.kr/LSW/admRulLsInfoP.do?admRulSeq=2100000255684,공식 주된 산업의 비중·종사자 요건 중 규모 원리만 참고한 운영규칙. 추가확인 신호 보존. 300인 최적성 미입증.,공식 주된 산업의 비중·종사자 요건 중 규모 원리만 참고한 운영규칙. 추가확인 신호 보존. 300인 최적성 미입증.,2026-09-18
ladder,상위 고용신호 AND (P OR 반복) AND 규모; 아니면 진입신호,관찰 / 추가확인 / 우선점검,행동단계,PROJECT_OPERATIONAL,,법정 지정의 결합식이 아니라 내부 점검 사다리.,법정 지정의 결합식이 아니라 내부 점검 사다리.,2026-09-18
missing,핵심 E/R/A·고용 미확인 시 판정보류; P만 없으면 알려진 신호로 최소판정,보간 없음,자료품질,PROJECT_OPERATIONAL,,미확인 보강조건은 충족으로 간주하지 않음. 최소판정과 자료 플래그 함께 전달.,미확인 보강조건은 충족으로 간주하지 않음. 최소판정과 자료 플래그 함께 전달.,2026-09-18
same_stage_rank,"같은 분기·단계에서 감소인원 내림차순, 동률 업종명",감소인원,처리순서,PROJECT_OPERATIONAL,,Q2 전체 점수화 아님. 동률 순서는 위험 우열이 아닌 결정적 표시순서.,Q2 전체 점수화 아님. 동률 순서는 위험 우열이 아닌 결정적 표시순서.,2026-09-18
