source_scheme,source_category,source_code,target_kicox_industry,mapping_type,mapping_confidence,rationale,source
KOSIS 생산자물가지수 기본분류,기계및장비,lv3,기계,direct,A,대분류 직접 대응,data\processed\ppi\ppi_industry_mapping_resolved.csv (확정본)
KOSIS 생산자물가지수 기본분류,운송장비,lv3,운송장비,direct,A,대분류 직접 대응(자동차+기타운송장비),data\processed\ppi\ppi_industry_mapping_resolved.csv (확정본)
KOSIS 생산자물가지수 기본분류,비금속광물제품,lv3,비금속,direct,A,시멘트·유리·요업 등 매칭 양호,data\processed\ppi\ppi_industry_mapping_resolved.csv (확정본)
KOSIS 생산자물가지수 기본분류,음식료품,lv3,음식료,direct,A,대분류 직접 대응,data\processed\ppi\ppi_industry_mapping_resolved.csv (확정본)
KOSIS 생산자물가지수 기본분류,목재및종이제품,lv3,목재종이,direct,A,대분류에 목재+종이가 이미 통합 존재 — 후보표의 '2개 합산 필요'는 불성립,data\processed\ppi\ppi_industry_mapping_resolved.csv (확정본)
KOSIS 생산자물가지수 기본분류,섬유및의복,lv4,섬유의복,direct,A,lv3 '섬유및가죽제품'은 가죽 포함으로 범위 과대 → lv4로 정밀화,data\processed\ppi\ppi_industry_mapping_resolved.csv (확정본)
KOSIS 생산자물가지수 기본분류,철강1차제품,lv4,철강,approximate,B,lv3 '1차금속제품'은 비철금속 포함으로 범위 과대(2026Q2 +14.4% vs +5.9%) → lv4로 정밀화,data\processed\ppi\ppi_industry_mapping_resolved.csv (확정본)
KOSIS 생산자물가지수 기본분류,화학제품,lv3,석유화학,ambiguous,C,상위 통합 항목 없음. 가중치 근거가 없어 밴드로만 제시,data\processed\ppi\ppi_industry_mapping_resolved.csv (확정본)
KOSIS 생산자물가지수 기본분류,석탄및석유제품,lv3,석유화학,ambiguous,C,상위 통합 항목 없음. 가중치 근거가 없어 밴드로만 제시,data\processed\ppi\ppi_industry_mapping_resolved.csv (확정본)
KOSIS 생산자물가지수 기본분류,전기장비,lv3,전기전자,ambiguous,C,상위 통합 항목 없음. 가중치 근거가 없어 밴드로만 제시,data\processed\ppi\ppi_industry_mapping_resolved.csv (확정본)
KOSIS 생산자물가지수 기본분류,컴퓨터전자및광학기기,lv3,전기전자,ambiguous,C,상위 통합 항목 없음. 가중치 근거가 없어 밴드로만 제시,data\processed\ppi\ppi_industry_mapping_resolved.csv (확정본)
KOSIS 생산자물가지수 기본분류,nan,nan,기타,unavailable,D,PPI '기타제조업제품'과 정의 이질 — 보조분석 제외(고용비중 0.15%),data\processed\ppi\ppi_industry_mapping_resolved.csv (확정본)
