industry,quarter,card_판정,card_현재상태,card_확인신호프로필,card_대표확인신호,representative_signal_note,card_교차확인,card_고용flow,card_수출,card_경기심리,card_전력,card_자료품질,card_확인질문,card_인계검토,nominal_production_yoy,ppi_adjusted_production_yoy,ppi_mapping_grade,ppi_adjusted_production_decline_band,firms_op_change_display,track
기계,2026Q2,우선점검 — 고용감소 6.3%(진입경계 5% 통과) · 산단 제조업 고용의 3.47% 감소(상위경계 2.0% 통과) → 보강: 생산 19.5% 감소,Q1 S4 / Q3 상태 지속 2분기 / 반복 고용진입신호 False,가동 위축 신호 · 실질생산 위축 신호(PPI 조정),가동 위축 신호,"대표 확인신호는 표시순서에 따른 요약이며, 유일한 원인이 아니다. 확인신호 프로필 전체를 함께 읽어야 한다.",고용보험 방향: 비교자료 없음 / 월별 지속성: 월별 원자료 미제공 / 명목·PPI조정 생산 방향: 일치,"창원시 제조업(202601, 반기): 종사자 1.3% / 입직 -1.1% / 이직 7.0% [업종 공통 배경]","HS6 336개 합계 수출 YoY -38.1% (매핑 B, 업종 총액 아님)",경남 제조업 업황BSI 74.7 / 전국 동업종 업황BSI 76.8 [거시 배경],창원시 제조업 전력사용량 YoY 0.8% / 고객호수 6026호 [업종 공통 배경 · 시 전체 제조업],연간보정 개정본 사용 구간 · 월별 원자료 미제공 구간,"가동률 하락이 일시적 생산조정인지 수주·수요 감소에 따른 것인지 확인할 필요가 있다.
명목생산 변화에 가격효과가 포함되어 있으므로 실제 물량이 줄었는지 추가로 확인할 필요가 있다.
확인된 품목 기준 수출이 함께 감소하고 있어, 외부수요 약화 가능성을 보려면 수출 감소가 특정 품목·기업에 집중되는지 추가 확인할 필요가 있다.
창원시 제조업 전체에서 이직자 증가가 함께 관측되므로, 특정 사업장 조정 또는 노동이동과 관련된 것인지 추가 확인할 필요가 있다.
가동률과 전력사용의 방향이 달라 업종 구성·설비 특성·자료범위(산단 vs 시 전체) 차이를 추가 확인할 필요가 있다.
경남 제조업 업황 심리지수가 기준선(100)을 밑돌아, 업종 고유 요인인지 지역 전반의 경기 흐름인지 구분해 확인할 필요가 있다.
같은 업종의 전국 업황 심리지수도 기준선을 밑돌아, 관측된 변화가 산단 고유 현상인지 전국 업종 흐름인지 확인할 필요가 있다.
이 분기는 월별 원자료가 공표되지 않아 분기 내 지속 여부를 확인할 수 없다. 분기말 단일시점 값에만 의존한 판단임을 감안할 필요가 있다.
연간보정 개정본을 사용한 구간이다. 이후 재개정 시 값이 달라질 수 있음을 확인할 필요가 있다.",산업동향 · 기업지원 / 산업동향 / 고용지원 — 검토 대상 기능의 제안이며 특정 사업·예산의 선정이 아니다. 지원 여부는 담당자의 현장 확인 뒤에 기존 체계에서 결정한다.,-19.547350877543444,-20.547174899737886,A,,"1,453개 → 1,458개 (+5개, +0.3%)",메인 트랙
목재종이,2026Q2,우선점검 — 고용감소 10.1%(상위경계 10% 통과) · 산단평균 대비 6.4%p 열위(진입경계 통과) → 보강: 생산 12.9% 감소 / 직전 분기에도 진입신호(지속),Q1 S4 / Q3 상태 지속 2분기 / 반복 고용진입신호 True,실질생산 위축 신호(PPI 조정),실질생산 위축 신호(PPI 조정),,고용보험 방향: 비교자료 없음 / 월별 지속성: 월별 원자료 미제공 / 명목·PPI조정 생산 방향: 일치,"창원시 제조업(202601, 반기): 종사자 1.3% / 입직 -1.1% / 이직 7.0% [업종 공통 배경]",수출 자료 없음 — 해당 업종에 귀속 근거가 있는 HS 류가 없다,경남 제조업 업황BSI 74.7 / 전국 동업종 업황BSI 59.7 [거시 배경],창원시 제조업 전력사용량 YoY 0.8% / 고객호수 6026호 [업종 공통 배경 · 시 전체 제조업],연간보정 개정본 사용 구간 · 월별 원자료 미제공 구간,"명목생산 변화에 가격효과가 포함되어 있으므로 실제 물량이 줄었는지 추가로 확인할 필요가 있다.
창원시 제조업 전체에서 이직자 증가가 함께 관측되므로, 특정 사업장 조정 또는 노동이동과 관련된 것인지 추가 확인할 필요가 있다.
경남 제조업 업황 심리지수가 기준선(100)을 밑돌아, 업종 고유 요인인지 지역 전반의 경기 흐름인지 구분해 확인할 필요가 있다.
같은 업종의 전국 업황 심리지수도 기준선을 밑돌아, 관측된 변화가 산단 고유 현상인지 전국 업종 흐름인지 확인할 필요가 있다.
이 분기는 월별 원자료가 공표되지 않아 분기 내 지속 여부를 확인할 수 없다. 분기말 단일시점 값에만 의존한 판단임을 감안할 필요가 있다.
연간보정 개정본을 사용한 구간이다. 이후 재개정 시 값이 달라질 수 있음을 확인할 필요가 있다.",산업동향 / 고용지원 — 검토 대상 기능의 제안이며 특정 사업·예산의 선정이 아니다. 지원 여부는 담당자의 현장 확인 뒤에 기존 체계에서 결정한다.,-12.897127553431709,-15.289242445913676,A,,"45개 → 44개 (-1개, -2.2%)",메인 트랙
기타,2026Q2,관찰 — 고용 축 진입신호 없음,Q1 S1 / Q3 상태 지속 2분기 / 반복 고용진입신호 False,업체수 감소 신호,업체수 감소 신호,,고용보험 방향: 비교자료 없음 / 월별 지속성: 월별 원자료 미제공 / 명목·PPI조정 생산 방향: 판단 보류,"창원시 제조업(202601, 반기): 종사자 1.3% / 입직 -1.1% / 이직 7.0% [업종 공통 배경]",수출 자료 없음 — 해당 업종에 귀속 근거가 있는 HS 류가 없다,경남 제조업 업황BSI 74.7 / 전국 동업종 BSI 없음 [거시 배경],창원시 제조업 전력사용량 YoY 0.8% / 고객호수 6026호 [업종 공통 배경 · 시 전체 제조업],PPI 매핑 불확실(C·D 등급) · 소규모 분모 — 비율 변동 과대 가능 · 연간보정 개정본 사용 구간 · 월별 원자료 미제공 구간,"가동업체 감소가 실제 퇴거·폐업·통합·휴업에 따른 것인지, 아니면 조사대상 변동이나 집계기준 변경에 따른 것인지 확인할 필요가 있다.
창원시 제조업 전체에서 이직자 증가가 함께 관측되므로, 특정 사업장 조정 또는 노동이동과 관련된 것인지 추가 확인할 필요가 있다.
경남 제조업 업황 심리지수가 기준선(100)을 밑돌아, 업종 고유 요인인지 지역 전반의 경기 흐름인지 구분해 확인할 필요가 있다.
이 업종은 생산자물가지수 대응 후보가 복수이거나 없어, PPI 조정 생산을 단일값으로 해석하지 않고 원자료로 확인할 필요가 있다.
업체수·고용 규모가 작아 비율 변동이 크게 나타난다. 절대 증감 개수로 다시 확인할 필요가 있다.
이 분기는 월별 원자료가 공표되지 않아 분기 내 지속 여부를 확인할 수 없다. 분기말 단일시점 값에만 의존한 판단임을 감안할 필요가 있다.
연간보정 개정본을 사용한 구간이다. 이후 재개정 시 값이 달라질 수 있음을 확인할 필요가 있다.",산업동향 · 기업지원 / 고용지원 / 산업동향 — 검토 대상 기능의 제안이며 특정 사업·예산의 선정이 아니다. 지원 여부는 담당자의 현장 확인 뒤에 기존 체계에서 결정한다.,3.033256182238997,,D,,"27개 → 25개 (-2개, -7.4%)",소규모 집계 트랙
비금속,2026Q2,관찰 — 고용 축 진입신호 없음,Q1 S2 / Q3 상태 지속 3분기 / 반복 고용진입신호 False,업체수 감소 신호 · 생산유지·고용감소 신호,업체수 감소 신호,"대표 확인신호는 표시순서에 따른 요약이며, 유일한 원인이 아니다. 확인신호 프로필 전체를 함께 읽어야 한다.",고용보험 방향: 비교자료 없음 / 월별 지속성: 월별 원자료 미제공 / 명목·PPI조정 생산 방향: 일치,"창원시 제조업(202601, 반기): 종사자 1.3% / 입직 -1.1% / 이직 7.0% [업종 공통 배경]",수출 자료 없음 — 해당 업종에 귀속 근거가 있는 HS 류가 없다,경남 제조업 업황BSI 74.7 / 전국 동업종 업황BSI 65.3 [거시 배경],창원시 제조업 전력사용량 YoY 0.8% / 고객호수 6026호 [업종 공통 배경 · 시 전체 제조업],소규모 분모 — 비율 변동 과대 가능 · 연간보정 개정본 사용 구간 · 월별 원자료 미제공 구간,"가동업체 감소가 실제 퇴거·폐업·통합·휴업에 따른 것인지, 아니면 조사대상 변동이나 집계기준 변경에 따른 것인지 확인할 필요가 있다.
생산이 유지되는데 고용이 감소하고 있어 자동화·생산성 변화·미충원·외주화·인력구조 조정 여부를 확인할 필요가 있다.
창원시 제조업 전체에서 이직자 증가가 함께 관측되므로, 특정 사업장 조정 또는 노동이동과 관련된 것인지 추가 확인할 필요가 있다.
경남 제조업 업황 심리지수가 기준선(100)을 밑돌아, 업종 고유 요인인지 지역 전반의 경기 흐름인지 구분해 확인할 필요가 있다.
같은 업종의 전국 업황 심리지수도 기준선을 밑돌아, 관측된 변화가 산단 고유 현상인지 전국 업종 흐름인지 확인할 필요가 있다.
업체수·고용 규모가 작아 비율 변동이 크게 나타난다. 절대 증감 개수로 다시 확인할 필요가 있다.
이 분기는 월별 원자료가 공표되지 않아 분기 내 지속 여부를 확인할 수 없다. 분기말 단일시점 값에만 의존한 판단임을 감안할 필요가 있다.
연간보정 개정본을 사용한 구간이다. 이후 재개정 시 값이 달라질 수 있음을 확인할 필요가 있다.",산업동향 · 기업지원 / 고용지원 · 직업훈련 / 고용지원 / 산업동향 — 검토 대상 기능의 제안이며 특정 사업·예산의 선정이 아니다. 지원 여부는 담당자의 현장 확인 뒤에 기존 체계에서 결정한다.,45.67070435172722,40.860667524642835,A,,"5개 → 4개 (-1개, -20.0%)",소규모 집계 트랙
석유화학,2026Q2,관찰 — 고용 축 진입신호 없음 (생산 6.7% 단독 감소 — 확인질문에 반영),Q1 S3 / Q3 상태 지속 1분기 / 반복 고용진입신호 False,가동 위축 신호,가동 위축 신호,,고용보험 방향: 비교자료 없음 / 월별 지속성: 월별 원자료 미제공 / 명목·PPI조정 생산 방향: 판단 보류,"창원시 제조업(202601, 반기): 종사자 1.3% / 입직 -1.1% / 이직 7.0% [업종 공통 배경]",수출 자료 없음 — 해당 업종에 귀속 근거가 있는 HS 류가 없다,경남 제조업 업황BSI 74.7 / 전국 동업종 업황BSI 74.4 [거시 배경],창원시 제조업 전력사용량 YoY 0.8% / 고객호수 6026호 [업종 공통 배경 · 시 전체 제조업],PPI 매핑 불확실(C·D 등급) · 연간보정 개정본 사용 구간 · 월별 원자료 미제공 구간,"가동률 하락이 일시적 생산조정인지 수주·수요 감소에 따른 것인지 확인할 필요가 있다.
창원시 제조업 전체에서 이직자 증가가 함께 관측되므로, 특정 사업장 조정 또는 노동이동과 관련된 것인지 추가 확인할 필요가 있다.
가동률과 전력사용의 방향이 달라 업종 구성·설비 특성·자료범위(산단 vs 시 전체) 차이를 추가 확인할 필요가 있다.
경남 제조업 업황 심리지수가 기준선(100)을 밑돌아, 업종 고유 요인인지 지역 전반의 경기 흐름인지 구분해 확인할 필요가 있다.
같은 업종의 전국 업황 심리지수도 기준선을 밑돌아, 관측된 변화가 산단 고유 현상인지 전국 업종 흐름인지 확인할 필요가 있다.
이 업종은 생산자물가지수 대응 후보가 복수이거나 없어, PPI 조정 생산을 단일값으로 해석하지 않고 원자료로 확인할 필요가 있다.
이 분기는 월별 원자료가 공표되지 않아 분기 내 지속 여부를 확인할 수 없다. 분기말 단일시점 값에만 의존한 판단임을 감안할 필요가 있다.
연간보정 개정본을 사용한 구간이다. 이후 재개정 시 값이 달라질 수 있음을 확인할 필요가 있다.",산업동향 · 기업지원 / 고용지원 / 산업동향 — 검토 대상 기능의 제안이며 특정 사업·예산의 선정이 아니다. 지원 여부는 담당자의 현장 확인 뒤에 기존 체계에서 결정한다.,-6.729849384858399,,C,후보 모두 위축,"41개 → 45개 (+4개, +9.8%)",메인 트랙
섬유의복,2026Q2,관찰 — 고용 축 진입신호 없음 (생산 12.3% 단독 감소 — 확인질문에 반영),Q1 N / Q3 상태 지속 0분기 / 반복 고용진입신호 False,가동 위축 신호 · 실질생산 위축 신호(PPI 조정),가동 위축 신호,"대표 확인신호는 표시순서에 따른 요약이며, 유일한 원인이 아니다. 확인신호 프로필 전체를 함께 읽어야 한다.",고용보험 방향: 비교자료 없음 / 월별 지속성: 월별 원자료 미제공 / 명목·PPI조정 생산 방향: 일치,"창원시 제조업(202601, 반기): 종사자 1.3% / 입직 -1.1% / 이직 7.0% [업종 공통 배경]",수출 자료 없음 — 해당 업종에 귀속 근거가 있는 HS 류가 없다,경남 제조업 업황BSI 74.7 / 전국 동업종 업황BSI 60.2 [거시 배경],창원시 제조업 전력사용량 YoY 0.8% / 고객호수 6026호 [업종 공통 배경 · 시 전체 제조업],소규모 분모 — 비율 변동 과대 가능 · 연간보정 개정본 사용 구간 · 월별 원자료 미제공 구간,"가동률 하락이 일시적 생산조정인지 수주·수요 감소에 따른 것인지 확인할 필요가 있다.
명목생산 변화에 가격효과가 포함되어 있으므로 실제 물량이 줄었는지 추가로 확인할 필요가 있다.
창원시 제조업 전체에서 이직자 증가가 함께 관측되므로, 특정 사업장 조정 또는 노동이동과 관련된 것인지 추가 확인할 필요가 있다.
가동률과 전력사용의 방향이 달라 업종 구성·설비 특성·자료범위(산단 vs 시 전체) 차이를 추가 확인할 필요가 있다.
경남 제조업 업황 심리지수가 기준선(100)을 밑돌아, 업종 고유 요인인지 지역 전반의 경기 흐름인지 구분해 확인할 필요가 있다.
같은 업종의 전국 업황 심리지수도 기준선을 밑돌아, 관측된 변화가 산단 고유 현상인지 전국 업종 흐름인지 확인할 필요가 있다.
업체수·고용 규모가 작아 비율 변동이 크게 나타난다. 절대 증감 개수로 다시 확인할 필요가 있다.
이 분기는 월별 원자료가 공표되지 않아 분기 내 지속 여부를 확인할 수 없다. 분기말 단일시점 값에만 의존한 판단임을 감안할 필요가 있다.
연간보정 개정본을 사용한 구간이다. 이후 재개정 시 값이 달라질 수 있음을 확인할 필요가 있다.",산업동향 · 기업지원 / 산업동향 / 고용지원 — 검토 대상 기능의 제안이며 특정 사업·예산의 선정이 아니다. 지원 여부는 담당자의 현장 확인 뒤에 기존 체계에서 결정한다.,-12.319670818395734,-15.169756617058972,A,,"7개 → 8개 (+1개, +14.3%)",소규모 집계 트랙
운송장비,2026Q2,관찰 — 고용 축 진입신호 없음,Q1 S2 / Q3 상태 지속 2분기 / 반복 고용진입신호 False,해석 보류,해석 보류,,고용보험 방향: 비교자료 없음 / 월별 지속성: 월별 원자료 미제공 / 명목·PPI조정 생산 방향: 일치,"창원시 제조업(202601, 반기): 종사자 1.3% / 입직 -1.1% / 이직 7.0% [업종 공통 배경]","HS6 61개 합계 수출 YoY -3.0% (매핑 A, 업종 총액 아님)",경남 제조업 업황BSI 74.7 / 전국 동업종 업황BSI 90.8 [거시 배경],창원시 제조업 전력사용량 YoY 0.8% / 고객호수 6026호 [업종 공통 배경 · 시 전체 제조업],연간보정 개정본 사용 구간 · 월별 원자료 미제공 구간,"창원시 제조업 전체에서 이직자 증가가 함께 관측되므로, 특정 사업장 조정 또는 노동이동과 관련된 것인지 추가 확인할 필요가 있다.
경남 제조업 업황 심리지수가 기준선(100)을 밑돌아, 업종 고유 요인인지 지역 전반의 경기 흐름인지 구분해 확인할 필요가 있다.
같은 업종의 전국 업황 심리지수도 기준선을 밑돌아, 관측된 변화가 산단 고유 현상인지 전국 업종 흐름인지 확인할 필요가 있다.
이 분기는 월별 원자료가 공표되지 않아 분기 내 지속 여부를 확인할 수 없다. 분기말 단일시점 값에만 의존한 판단임을 감안할 필요가 있다.
연간보정 개정본을 사용한 구간이다. 이후 재개정 시 값이 달라질 수 있음을 확인할 필요가 있다.",고용지원 / 산업동향 — 검토 대상 기능의 제안이며 특정 사업·예산의 선정이 아니다. 지원 여부는 담당자의 현장 확인 뒤에 기존 체계에서 결정한다.,19.64333200865325,17.240435355443175,A,,"244개 → 245개 (+1개, +0.4%)",메인 트랙
음식료,2026Q2,관찰 — 고용 축 진입신호 없음,Q1 S2 / Q3 상태 지속 2분기 / 반복 고용진입신호 False,해석 보류,해석 보류,,고용보험 방향: 비교자료 없음 / 월별 지속성: 월별 원자료 미제공 / 명목·PPI조정 생산 방향: 불일치,"창원시 제조업(202601, 반기): 종사자 1.3% / 입직 -1.1% / 이직 7.0% [업종 공통 배경]",수출 자료 없음 — 해당 업종에 귀속 근거가 있는 HS 류가 없다,경남 제조업 업황BSI 74.7 / 전국 동업종 업황BSI 66.2 [거시 배경],창원시 제조업 전력사용량 YoY 0.8% / 고객호수 6026호 [업종 공통 배경 · 시 전체 제조업],명목·PPI 조정 생산 방향 불일치 · 소규모 분모 — 비율 변동 과대 가능 · 연간보정 개정본 사용 구간 · 월별 원자료 미제공 구간,"창원시 제조업 전체에서 이직자 증가가 함께 관측되므로, 특정 사업장 조정 또는 노동이동과 관련된 것인지 추가 확인할 필요가 있다.
가동률과 전력사용의 방향이 달라 업종 구성·설비 특성·자료범위(산단 vs 시 전체) 차이를 추가 확인할 필요가 있다.
경남 제조업 업황 심리지수가 기준선(100)을 밑돌아, 업종 고유 요인인지 지역 전반의 경기 흐름인지 구분해 확인할 필요가 있다.
같은 업종의 전국 업황 심리지수도 기준선을 밑돌아, 관측된 변화가 산단 고유 현상인지 전국 업종 흐름인지 확인할 필요가 있다.
명목생산과 PPI 조정 생산의 방향이 달라, 이 분기의 생산 변화가 가격 때문인지 물량 때문인지 확인할 필요가 있다.
업체수·고용 규모가 작아 비율 변동이 크게 나타난다. 절대 증감 개수로 다시 확인할 필요가 있다.
이 분기는 월별 원자료가 공표되지 않아 분기 내 지속 여부를 확인할 수 없다. 분기말 단일시점 값에만 의존한 판단임을 감안할 필요가 있다.
연간보정 개정본을 사용한 구간이다. 이후 재개정 시 값이 달라질 수 있음을 확인할 필요가 있다.",고용지원 / 산업동향 — 검토 대상 기능의 제안이며 특정 사업·예산의 선정이 아니다. 지원 여부는 담당자의 현장 확인 뒤에 기존 체계에서 결정한다.,0.8734323986208103,-0.7793172719912755,A,,"4개 → 4개 (+0개, +0.0%)",메인 트랙
전기전자,2026Q2,관찰 — 고용 축 진입신호 없음,Q1 S2 / Q3 상태 지속 1분기 / 반복 고용진입신호 False,해석 보류,해석 보류,,고용보험 방향: 비교자료 없음 / 월별 지속성: 월별 원자료 미제공 / 명목·PPI조정 생산 방향: 판단 보류,"창원시 제조업(202601, 반기): 종사자 1.3% / 입직 -1.1% / 이직 7.0% [업종 공통 배경]","HS6 246개 합계 수출 YoY 9.0% (매핑 B, 업종 총액 아님)",경남 제조업 업황BSI 74.7 / 전국 동업종 업황BSI 86.7 [거시 배경],창원시 제조업 전력사용량 YoY 0.8% / 고객호수 6026호 [업종 공통 배경 · 시 전체 제조업],PPI 매핑 불확실(C·D 등급) · 연간보정 개정본 사용 구간 · 월별 원자료 미제공 구간,"확인된 품목 기준 수출은 유지·확대되는데 고용이 감소하고 있어 생산성·자동화·기업구성 변화 등의 가능성을 추가 확인할 필요가 있다.
창원시 제조업 전체에서 이직자 증가가 함께 관측되므로, 특정 사업장 조정 또는 노동이동과 관련된 것인지 추가 확인할 필요가 있다.
가동률과 전력사용의 방향이 달라 업종 구성·설비 특성·자료범위(산단 vs 시 전체) 차이를 추가 확인할 필요가 있다.
경남 제조업 업황 심리지수가 기준선(100)을 밑돌아, 업종 고유 요인인지 지역 전반의 경기 흐름인지 구분해 확인할 필요가 있다.
같은 업종의 전국 업황 심리지수도 기준선을 밑돌아, 관측된 변화가 산단 고유 현상인지 전국 업종 흐름인지 확인할 필요가 있다.
이 업종은 생산자물가지수 대응 후보가 복수이거나 없어, PPI 조정 생산을 단일값으로 해석하지 않고 원자료로 확인할 필요가 있다.
이 분기는 월별 원자료가 공표되지 않아 분기 내 지속 여부를 확인할 수 없다. 분기말 단일시점 값에만 의존한 판단임을 감안할 필요가 있다.
연간보정 개정본을 사용한 구간이다. 이후 재개정 시 값이 달라질 수 있음을 확인할 필요가 있다.",고용지원 · 직업훈련 / 고용지원 / 산업동향 — 검토 대상 기능의 제안이며 특정 사업·예산의 선정이 아니다. 지원 여부는 담당자의 현장 확인 뒤에 기존 체계에서 결정한다.,2.697876409158262,,C,후보 모두 위축,"571개 → 590개 (+19개, +3.3%)",메인 트랙
철강,2026Q2,관찰 — 고용 축 진입신호 없음,Q1 S2 / Q3 상태 지속 4분기 / 반복 고용진입신호 False,생산유지·고용감소 신호,생산유지·고용감소 신호,,고용보험 방향: 비교자료 없음 / 월별 지속성: 월별 원자료 미제공 / 명목·PPI조정 생산 방향: 일치,"창원시 제조업(202601, 반기): 종사자 1.3% / 입직 -1.1% / 이직 7.0% [업종 공통 배경]","HS6 208개 합계 수출 YoY -5.8% (매핑 A, 업종 총액 아님)",경남 제조업 업황BSI 74.7 / 전국 동업종 업황BSI 70.3 [거시 배경],창원시 제조업 전력사용량 YoY 0.8% / 고객호수 6026호 [업종 공통 배경 · 시 전체 제조업],연간보정 개정본 사용 구간 · 월별 원자료 미제공 구간,"생산이 유지되는데 고용이 감소하고 있어 자동화·생산성 변화·미충원·외주화·인력구조 조정 여부를 확인할 필요가 있다.
확인된 품목 기준 수출이 함께 감소하고 있어, 외부수요 약화 가능성을 보려면 수출 감소가 특정 품목·기업에 집중되는지 추가 확인할 필요가 있다.
창원시 제조업 전체에서 이직자 증가가 함께 관측되므로, 특정 사업장 조정 또는 노동이동과 관련된 것인지 추가 확인할 필요가 있다.
경남 제조업 업황 심리지수가 기준선(100)을 밑돌아, 업종 고유 요인인지 지역 전반의 경기 흐름인지 구분해 확인할 필요가 있다.
같은 업종의 전국 업황 심리지수도 기준선을 밑돌아, 관측된 변화가 산단 고유 현상인지 전국 업종 흐름인지 확인할 필요가 있다.
이 분기는 월별 원자료가 공표되지 않아 분기 내 지속 여부를 확인할 수 없다. 분기말 단일시점 값에만 의존한 판단임을 감안할 필요가 있다.
연간보정 개정본을 사용한 구간이다. 이후 재개정 시 값이 달라질 수 있음을 확인할 필요가 있다.",고용지원 · 직업훈련 / 산업동향 · 기업지원 / 고용지원 / 산업동향 — 검토 대상 기능의 제안이며 특정 사업·예산의 선정이 아니다. 지원 여부는 담당자의 현장 확인 뒤에 기존 체계에서 결정한다.,32.648709569813406,25.280923429229606,B,,"75개 → 74개 (-1개, -1.3%)",메인 트랙
