industry,quarter,stage,stage_reason,q1_state_label,q1_question_route,q2_employment_delta,q2_employment_yoy,q2_employment_share,q2_contribution,q3_state_run_length,q3_transition,q3_repeated_signal,signal_e,signal_r,signal_a,signal_p,check_question,first_owner,next_review_quarter,signal_profile,check_questions_context,handoff_review_functions,kepco_legal_dong_note,jobs_note,model_path,electre_used,human_decision_required,routing_disclaimer
기계,2026Q2,우선점검,고용감소 6.3%(진입경계 5% 통과) · 산단 제조업 고용의 3.47% 감소(상위경계 2.0% 통과) → 보강: 생산 19.5% 감소,생산↓·고용↓,수주잔량·가동률·휴업/감산·기업 수 변동·고용조정 계획 신고 여부를 확인한다(원인 후보이며 입증된 원인이 아님).,-3979.0,-6.339722447939078,51.19219716102064,91.85133887349951,2.0,S4 → S4,False,6.339722447939078,2.704335327884022,3.465122354785335,19.547350877543444,수주잔량·가동률·휴업/감산·기업 수 변동·고용조정 계획 신고 여부를 확인한다(원인 후보이며 입증된 원인이 아님).,기업지원 기능 + 고용지원 기능,2026Q3,가동 위축 신호 · 실질생산 위축 신호(PPI 조정),"가동률 하락이 일시적 생산조정인지 수주·수요 감소에 따른 것인지 확인할 필요가 있다.
명목생산 변화에 가격효과가 포함되어 있으므로 실제 물량이 줄었는지 추가로 확인할 필요가 있다.
확인된 품목 기준 수출이 함께 감소하고 있어, 외부수요 약화 가능성을 보려면 수출 감소가 특정 품목·기업에 집중되는지 추가 확인할 필요가 있다.
창원시 제조업 전체에서 이직자 증가가 함께 관측되므로, 특정 사업장 조정 또는 노동이동과 관련된 것인지 추가 확인할 필요가 있다.
가동률과 전력사용의 방향이 달라 업종 구성·설비 특성·자료범위(산단 vs 시 전체) 차이를 추가 확인할 필요가 있다.
경남 제조업 업황 심리지수가 기준선(100)을 밑돌아, 업종 고유 요인인지 지역 전반의 경기 흐름인지 구분해 확인할 필요가 있다.
같은 업종의 전국 업황 심리지수도 기준선을 밑돌아, 관측된 변화가 산단 고유 현상인지 전국 업종 흐름인지 확인할 필요가 있다.
이 분기는 월별 원자료가 공표되지 않아 분기 내 지속 여부를 확인할 수 없다. 분기말 단일시점 값에만 의존한 판단임을 감안할 필요가 있다.
연간보정 개정본을 사용한 구간이다. 이후 재개정 시 값이 달라질 수 있음을 확인할 필요가 있다.",산업동향 · 기업지원 / 산업동향 / 고용지원,18개 제조업 집적 법정동 proxy; 산단 경계 아님. 비식별 셀을 0·대체·추정하지 않으며 공개 셀 합계를 업종 전체로 해석하지 않음,업종코드·모집인원·역사 시계열이 없어 업종별 수치 신호로 사용하지 않음; 담당자 현재 공고 확인용,CORE→Q1→Q2→Q3→Triage→[추가확인만 ELECTRE/SMAA]→External Evidence→Human Review→Routing,False,True,검토 기능 제안이며 특정 사업·예산·지원대상 선정이 아님
목재종이,2026Q2,우선점검,고용감소 10.1%(상위경계 10% 통과) · 산단평균 대비 6.4%p 열위(진입경계 통과) → 보강: 생산 12.9% 감소 / 직전 분기에도 진입신호(지속),생산↓·고용↓,수주잔량·가동률·휴업/감산·기업 수 변동·고용조정 계획 신고 여부를 확인한다(원인 후보이며 입증된 원인이 아님).,-48.0,-10.084033613445376,0.3727248976748236,1.10803324099723,2.0,S4 → S4,True,10.084033613445376,6.448646493390321,0.0418009231037185,12.897127553431709,수주잔량·가동률·휴업/감산·기업 수 변동·고용조정 계획 신고 여부를 확인한다(원인 후보이며 입증된 원인이 아님).,기업지원 기능 + 고용지원 기능,2026Q3,실질생산 위축 신호(PPI 조정),"명목생산 변화에 가격효과가 포함되어 있으므로 실제 물량이 줄었는지 추가로 확인할 필요가 있다.
창원시 제조업 전체에서 이직자 증가가 함께 관측되므로, 특정 사업장 조정 또는 노동이동과 관련된 것인지 추가 확인할 필요가 있다.
경남 제조업 업황 심리지수가 기준선(100)을 밑돌아, 업종 고유 요인인지 지역 전반의 경기 흐름인지 구분해 확인할 필요가 있다.
같은 업종의 전국 업황 심리지수도 기준선을 밑돌아, 관측된 변화가 산단 고유 현상인지 전국 업종 흐름인지 확인할 필요가 있다.
이 분기는 월별 원자료가 공표되지 않아 분기 내 지속 여부를 확인할 수 없다. 분기말 단일시점 값에만 의존한 판단임을 감안할 필요가 있다.
연간보정 개정본을 사용한 구간이다. 이후 재개정 시 값이 달라질 수 있음을 확인할 필요가 있다.",산업동향 / 고용지원,18개 제조업 집적 법정동 proxy; 산단 경계 아님. 비식별 셀을 0·대체·추정하지 않으며 공개 셀 합계를 업종 전체로 해석하지 않음,업종코드·모집인원·역사 시계열이 없어 업종별 수치 신호로 사용하지 않음; 담당자 현재 공고 확인용,CORE→Q1→Q2→Q3→Triage→[추가확인만 ELECTRE/SMAA]→External Evidence→Human Review→Routing,False,True,검토 기능 제안이며 특정 사업·예산·지원대상 선정이 아님
기타,2026Q2,관찰,고용 축 진입신호 없음,생산↑·고용↑,미충원·숙련수요·증가의 지속가능성을 확인한다.,25.0,17.12328767123288,0.1489157885569973,-0.577100646352724,2.0,S1 → S1,False,0.0,0.0,0.0,0.0,미충원·숙련수요·증가의 지속가능성을 확인한다.,고용·훈련 기능,2026Q3,업체수 감소 신호,"가동업체 감소가 실제 퇴거·폐업·통합·휴업에 따른 것인지, 아니면 조사대상 변동이나 집계기준 변경에 따른 것인지 확인할 필요가 있다.
창원시 제조업 전체에서 이직자 증가가 함께 관측되므로, 특정 사업장 조정 또는 노동이동과 관련된 것인지 추가 확인할 필요가 있다.
경남 제조업 업황 심리지수가 기준선(100)을 밑돌아, 업종 고유 요인인지 지역 전반의 경기 흐름인지 구분해 확인할 필요가 있다.
이 업종은 생산자물가지수 대응 후보가 복수이거나 없어, PPI 조정 생산을 단일값으로 해석하지 않고 원자료로 확인할 필요가 있다.
업체수·고용 규모가 작아 비율 변동이 크게 나타난다. 절대 증감 개수로 다시 확인할 필요가 있다.
이 분기는 월별 원자료가 공표되지 않아 분기 내 지속 여부를 확인할 수 없다. 분기말 단일시점 값에만 의존한 판단임을 감안할 필요가 있다.
연간보정 개정본을 사용한 구간이다. 이후 재개정 시 값이 달라질 수 있음을 확인할 필요가 있다.",산업동향 · 기업지원 / 고용지원 / 산업동향,18개 제조업 집적 법정동 proxy; 산단 경계 아님. 비식별 셀을 0·대체·추정하지 않으며 공개 셀 합계를 업종 전체로 해석하지 않음,업종코드·모집인원·역사 시계열이 없어 업종별 수치 신호로 사용하지 않음; 담당자 현재 공고 확인용,CORE→Q1→Q2→Q3→Triage→[추가확인만 ELECTRE/SMAA]→External Evidence→Human Review→Routing,False,True,검토 기능 제안이며 특정 사업·예산·지원대상 선정이 아님
비금속,2026Q2,관찰,고용 축 진입신호 없음,생산↑·고용↓,"자동화·설비투자, 외주·도급 전환, 미충원·숙련 불일치, 직무구조 변화 가능성을 질문으로 확인한다(원인 후보이며 입증된 원인이 아님).",-2.0,-1.0810810810810811,0.1593660193329269,0.0461680517082179,3.0,S2 → S2,False,1.0810810810810811,0.0,0.0017417051293216,0.0,"자동화·설비투자, 외주·도급 전환, 미충원·숙련 불일치, 직무구조 변화 가능성을 질문으로 확인한다(원인 후보이며 입증된 원인이 아님).",고용·훈련 기능 + 기업지원 기능,2026Q3,업체수 감소 신호 · 생산유지·고용감소 신호,"가동업체 감소가 실제 퇴거·폐업·통합·휴업에 따른 것인지, 아니면 조사대상 변동이나 집계기준 변경에 따른 것인지 확인할 필요가 있다.
생산이 유지되는데 고용이 감소하고 있어 자동화·생산성 변화·미충원·외주화·인력구조 조정 여부를 확인할 필요가 있다.
창원시 제조업 전체에서 이직자 증가가 함께 관측되므로, 특정 사업장 조정 또는 노동이동과 관련된 것인지 추가 확인할 필요가 있다.
경남 제조업 업황 심리지수가 기준선(100)을 밑돌아, 업종 고유 요인인지 지역 전반의 경기 흐름인지 구분해 확인할 필요가 있다.
같은 업종의 전국 업황 심리지수도 기준선을 밑돌아, 관측된 변화가 산단 고유 현상인지 전국 업종 흐름인지 확인할 필요가 있다.
업체수·고용 규모가 작아 비율 변동이 크게 나타난다. 절대 증감 개수로 다시 확인할 필요가 있다.
이 분기는 월별 원자료가 공표되지 않아 분기 내 지속 여부를 확인할 수 없다. 분기말 단일시점 값에만 의존한 판단임을 감안할 필요가 있다.
연간보정 개정본을 사용한 구간이다. 이후 재개정 시 값이 달라질 수 있음을 확인할 필요가 있다.",산업동향 · 기업지원 / 고용지원 · 직업훈련 / 고용지원 / 산업동향,18개 제조업 집적 법정동 proxy; 산단 경계 아님. 비식별 셀을 0·대체·추정하지 않으며 공개 셀 합계를 업종 전체로 해석하지 않음,업종코드·모집인원·역사 시계열이 없어 업종별 수치 신호로 사용하지 않음; 담당자 현재 공고 확인용,CORE→Q1→Q2→Q3→Triage→[추가확인만 ELECTRE/SMAA]→External Evidence→Human Review→Routing,False,True,검토 기능 제안이며 특정 사업·예산·지원대상 선정이 아님
석유화학,2026Q2,관찰,고용 축 진입신호 없음 (생산 6.7% 단독 감소 — 확인질문에 반영),생산↓·고용↑,선제채용·신규 입주기업·고용조정 시차·생산 단가와 물량 구분 가능성을 확인한다.,54.0,9.557522123893802,0.539057737525037,-1.2465373961218835,1.0,S4 → S3,False,0.0,0.0,0.0,6.729849384858399,선제채용·신규 입주기업·고용조정 시차·생산 단가와 물량 구분 가능성을 확인한다.,기업지원 기능(모니터링),2026Q3,가동 위축 신호,"가동률 하락이 일시적 생산조정인지 수주·수요 감소에 따른 것인지 확인할 필요가 있다.
창원시 제조업 전체에서 이직자 증가가 함께 관측되므로, 특정 사업장 조정 또는 노동이동과 관련된 것인지 추가 확인할 필요가 있다.
가동률과 전력사용의 방향이 달라 업종 구성·설비 특성·자료범위(산단 vs 시 전체) 차이를 추가 확인할 필요가 있다.
경남 제조업 업황 심리지수가 기준선(100)을 밑돌아, 업종 고유 요인인지 지역 전반의 경기 흐름인지 구분해 확인할 필요가 있다.
같은 업종의 전국 업황 심리지수도 기준선을 밑돌아, 관측된 변화가 산단 고유 현상인지 전국 업종 흐름인지 확인할 필요가 있다.
이 업종은 생산자물가지수 대응 후보가 복수이거나 없어, PPI 조정 생산을 단일값으로 해석하지 않고 원자료로 확인할 필요가 있다.
이 분기는 월별 원자료가 공표되지 않아 분기 내 지속 여부를 확인할 수 없다. 분기말 단일시점 값에만 의존한 판단임을 감안할 필요가 있다.
연간보정 개정본을 사용한 구간이다. 이후 재개정 시 값이 달라질 수 있음을 확인할 필요가 있다.",산업동향 · 기업지원 / 고용지원 / 산업동향,18개 제조업 집적 법정동 proxy; 산단 경계 아님. 비식별 셀을 0·대체·추정하지 않으며 공개 셀 합계를 업종 전체로 해석하지 않음,업종코드·모집인원·역사 시계열이 없어 업종별 수치 신호로 사용하지 않음; 담당자 현재 공고 확인용,CORE→Q1→Q2→Q3→Triage→[추가확인만 ELECTRE/SMAA]→External Evidence→Human Review→Routing,False,True,검토 기능 제안이며 특정 사업·예산·지원대상 선정이 아님
섬유의복,2026Q2,관찰,고용 축 진입신호 없음 (생산 12.3% 단독 감소 — 확인질문에 반영),한 축 이상 정확한 0,"원자료상 정확한 0인지 반올림·개정 영향인지, 0이 아닌 축의 방향과 규모를 확인한다.",0.0,0.0,0.0296089871984672,-0.0,,N → N,False,0.0,0.0,0.0,12.319670818395734,"원자료상 정확한 0인지 반올림·개정 영향인지, 0이 아닌 축의 방향과 규모를 확인한다.",자료 검토,2026Q3,가동 위축 신호 · 실질생산 위축 신호(PPI 조정),"가동률 하락이 일시적 생산조정인지 수주·수요 감소에 따른 것인지 확인할 필요가 있다.
명목생산 변화에 가격효과가 포함되어 있으므로 실제 물량이 줄었는지 추가로 확인할 필요가 있다.
창원시 제조업 전체에서 이직자 증가가 함께 관측되므로, 특정 사업장 조정 또는 노동이동과 관련된 것인지 추가 확인할 필요가 있다.
가동률과 전력사용의 방향이 달라 업종 구성·설비 특성·자료범위(산단 vs 시 전체) 차이를 추가 확인할 필요가 있다.
경남 제조업 업황 심리지수가 기준선(100)을 밑돌아, 업종 고유 요인인지 지역 전반의 경기 흐름인지 구분해 확인할 필요가 있다.
같은 업종의 전국 업황 심리지수도 기준선을 밑돌아, 관측된 변화가 산단 고유 현상인지 전국 업종 흐름인지 확인할 필요가 있다.
업체수·고용 규모가 작아 비율 변동이 크게 나타난다. 절대 증감 개수로 다시 확인할 필요가 있다.
이 분기는 월별 원자료가 공표되지 않아 분기 내 지속 여부를 확인할 수 없다. 분기말 단일시점 값에만 의존한 판단임을 감안할 필요가 있다.
연간보정 개정본을 사용한 구간이다. 이후 재개정 시 값이 달라질 수 있음을 확인할 필요가 있다.",산업동향 · 기업지원 / 산업동향 / 고용지원,18개 제조업 집적 법정동 proxy; 산단 경계 아님. 비식별 셀을 0·대체·추정하지 않으며 공개 셀 합계를 업종 전체로 해석하지 않음,업종코드·모집인원·역사 시계열이 없어 업종별 수치 신호로 사용하지 않음; 담당자 현재 공고 확인용,CORE→Q1→Q2→Q3→Triage→[추가확인만 ELECTRE/SMAA]→External Evidence→Human Review→Routing,False,True,검토 기능 제안이며 특정 사업·예산·지원대상 선정이 아님
운송장비,2026Q2,관찰,고용 축 진입신호 없음,생산↑·고용↓,"자동화·설비투자, 외주·도급 전환, 미충원·숙련 불일치, 직무구조 변화 가능성을 질문으로 확인한다(원인 후보이며 입증된 원인이 아님).",-129.0,-0.7848147472166445,14.201863624488372,2.977839335180056,2.0,S2 → S2,False,0.7848147472166445,0.0,0.1123399808412435,0.0,"자동화·설비투자, 외주·도급 전환, 미충원·숙련 불일치, 직무구조 변화 가능성을 질문으로 확인한다(원인 후보이며 입증된 원인이 아님).",고용·훈련 기능 + 기업지원 기능,2026Q3,해석 보류,"창원시 제조업 전체에서 이직자 증가가 함께 관측되므로, 특정 사업장 조정 또는 노동이동과 관련된 것인지 추가 확인할 필요가 있다.
경남 제조업 업황 심리지수가 기준선(100)을 밑돌아, 업종 고유 요인인지 지역 전반의 경기 흐름인지 구분해 확인할 필요가 있다.
같은 업종의 전국 업황 심리지수도 기준선을 밑돌아, 관측된 변화가 산단 고유 현상인지 전국 업종 흐름인지 확인할 필요가 있다.
이 분기는 월별 원자료가 공표되지 않아 분기 내 지속 여부를 확인할 수 없다. 분기말 단일시점 값에만 의존한 판단임을 감안할 필요가 있다.
연간보정 개정본을 사용한 구간이다. 이후 재개정 시 값이 달라질 수 있음을 확인할 필요가 있다.",고용지원 / 산업동향,18개 제조업 집적 법정동 proxy; 산단 경계 아님. 비식별 셀을 0·대체·추정하지 않으며 공개 셀 합계를 업종 전체로 해석하지 않음,업종코드·모집인원·역사 시계열이 없어 업종별 수치 신호로 사용하지 않음; 담당자 현재 공고 확인용,CORE→Q1→Q2→Q3→Triage→[추가확인만 ELECTRE/SMAA]→External Evidence→Human Review→Routing,False,True,검토 기능 제안이며 특정 사업·예산·지원대상 선정이 아님
음식료,2026Q2,관찰,고용 축 진입신호 없음,생산↑·고용↓,"자동화·설비투자, 외주·도급 전환, 미충원·숙련 불일치, 직무구조 변화 가능성을 질문으로 확인한다(원인 후보이며 입증된 원인이 아님).",-25.0,-3.787878787878785,0.5529913785596099,0.577100646352724,2.0,S2 → S2,False,3.787878787878785,0.1524916678237287,0.02177131411652,0.0,"자동화·설비투자, 외주·도급 전환, 미충원·숙련 불일치, 직무구조 변화 가능성을 질문으로 확인한다(원인 후보이며 입증된 원인이 아님).",고용·훈련 기능 + 기업지원 기능,2026Q3,해석 보류,"창원시 제조업 전체에서 이직자 증가가 함께 관측되므로, 특정 사업장 조정 또는 노동이동과 관련된 것인지 추가 확인할 필요가 있다.
가동률과 전력사용의 방향이 달라 업종 구성·설비 특성·자료범위(산단 vs 시 전체) 차이를 추가 확인할 필요가 있다.
경남 제조업 업황 심리지수가 기준선(100)을 밑돌아, 업종 고유 요인인지 지역 전반의 경기 흐름인지 구분해 확인할 필요가 있다.
같은 업종의 전국 업황 심리지수도 기준선을 밑돌아, 관측된 변화가 산단 고유 현상인지 전국 업종 흐름인지 확인할 필요가 있다.
명목생산과 PPI 조정 생산의 방향이 달라, 이 분기의 생산 변화가 가격 때문인지 물량 때문인지 확인할 필요가 있다.
업체수·고용 규모가 작아 비율 변동이 크게 나타난다. 절대 증감 개수로 다시 확인할 필요가 있다.
이 분기는 월별 원자료가 공표되지 않아 분기 내 지속 여부를 확인할 수 없다. 분기말 단일시점 값에만 의존한 판단임을 감안할 필요가 있다.
연간보정 개정본을 사용한 구간이다. 이후 재개정 시 값이 달라질 수 있음을 확인할 필요가 있다.",고용지원 / 산업동향,18개 제조업 집적 법정동 proxy; 산단 경계 아님. 비식별 셀을 0·대체·추정하지 않으며 공개 셀 합계를 업종 전체로 해석하지 않음,업종코드·모집인원·역사 시계열이 없어 업종별 수치 신호로 사용하지 않음; 담당자 현재 공고 확인용,CORE→Q1→Q2→Q3→Triage→[추가확인만 ELECTRE/SMAA]→External Evidence→Human Review→Routing,False,True,검토 기능 제안이며 특정 사업·예산·지원대상 선정이 아님
전기전자,2026Q2,관찰,고용 축 진입신호 없음,생산↑·고용↓,"자동화·설비투자, 외주·도급 전환, 미충원·숙련 불일치, 직무구조 변화 가능성을 질문으로 확인한다(원인 후보이며 입증된 원인이 아님).",-116.0,-0.4128848549563968,24.36558390664461,2.677746999076639,1.0,S4 → S2,False,0.4128848549563968,0.0,0.1010188975006531,0.0,"자동화·설비투자, 외주·도급 전환, 미충원·숙련 불일치, 직무구조 변화 가능성을 질문으로 확인한다(원인 후보이며 입증된 원인이 아님).",고용·훈련 기능 + 기업지원 기능,2026Q3,해석 보류,"확인된 품목 기준 수출은 유지·확대되는데 고용이 감소하고 있어 생산성·자동화·기업구성 변화 등의 가능성을 추가 확인할 필요가 있다.
창원시 제조업 전체에서 이직자 증가가 함께 관측되므로, 특정 사업장 조정 또는 노동이동과 관련된 것인지 추가 확인할 필요가 있다.
가동률과 전력사용의 방향이 달라 업종 구성·설비 특성·자료범위(산단 vs 시 전체) 차이를 추가 확인할 필요가 있다.
경남 제조업 업황 심리지수가 기준선(100)을 밑돌아, 업종 고유 요인인지 지역 전반의 경기 흐름인지 구분해 확인할 필요가 있다.
같은 업종의 전국 업황 심리지수도 기준선을 밑돌아, 관측된 변화가 산단 고유 현상인지 전국 업종 흐름인지 확인할 필요가 있다.
이 업종은 생산자물가지수 대응 후보가 복수이거나 없어, PPI 조정 생산을 단일값으로 해석하지 않고 원자료로 확인할 필요가 있다.
이 분기는 월별 원자료가 공표되지 않아 분기 내 지속 여부를 확인할 수 없다. 분기말 단일시점 값에만 의존한 판단임을 감안할 필요가 있다.
연간보정 개정본을 사용한 구간이다. 이후 재개정 시 값이 달라질 수 있음을 확인할 필요가 있다.",고용지원 · 직업훈련 / 고용지원 / 산업동향,18개 제조업 집적 법정동 proxy; 산단 경계 아님. 비식별 셀을 0·대체·추정하지 않으며 공개 셀 합계를 업종 전체로 해석하지 않음,업종코드·모집인원·역사 시계열이 없어 업종별 수치 신호로 사용하지 않음; 담당자 현재 공고 확인용,CORE→Q1→Q2→Q3→Triage→[추가확인만 ELECTRE/SMAA]→External Evidence→Human Review→Routing,False,True,검토 기능 제안이며 특정 사업·예산·지원대상 선정이 아님
철강,2026Q2,관찰,고용 축 진입신호 없음,생산↑·고용↓,"자동화·설비투자, 외주·도급 전환, 미충원·숙련 불일치, 직무구조 변화 가능성을 질문으로 확인한다(원인 후보이며 입증된 원인이 아님).",-112.0,-1.1427405366799317,8.437690498998519,2.585410895660203,4.0,S2 → S2,False,1.1427405366799317,0.0,0.0975354872420099,0.0,"자동화·설비투자, 외주·도급 전환, 미충원·숙련 불일치, 직무구조 변화 가능성을 질문으로 확인한다(원인 후보이며 입증된 원인이 아님).",고용·훈련 기능 + 기업지원 기능,2026Q3,생산유지·고용감소 신호,"생산이 유지되는데 고용이 감소하고 있어 자동화·생산성 변화·미충원·외주화·인력구조 조정 여부를 확인할 필요가 있다.
확인된 품목 기준 수출이 함께 감소하고 있어, 외부수요 약화 가능성을 보려면 수출 감소가 특정 품목·기업에 집중되는지 추가 확인할 필요가 있다.
창원시 제조업 전체에서 이직자 증가가 함께 관측되므로, 특정 사업장 조정 또는 노동이동과 관련된 것인지 추가 확인할 필요가 있다.
경남 제조업 업황 심리지수가 기준선(100)을 밑돌아, 업종 고유 요인인지 지역 전반의 경기 흐름인지 구분해 확인할 필요가 있다.
같은 업종의 전국 업황 심리지수도 기준선을 밑돌아, 관측된 변화가 산단 고유 현상인지 전국 업종 흐름인지 확인할 필요가 있다.
이 분기는 월별 원자료가 공표되지 않아 분기 내 지속 여부를 확인할 수 없다. 분기말 단일시점 값에만 의존한 판단임을 감안할 필요가 있다.
연간보정 개정본을 사용한 구간이다. 이후 재개정 시 값이 달라질 수 있음을 확인할 필요가 있다.",고용지원 · 직업훈련 / 산업동향 · 기업지원 / 고용지원 / 산업동향,18개 제조업 집적 법정동 proxy; 산단 경계 아님. 비식별 셀을 0·대체·추정하지 않으며 공개 셀 합계를 업종 전체로 해석하지 않음,업종코드·모집인원·역사 시계열이 없어 업종별 수치 신호로 사용하지 않음; 담당자 현재 공고 확인용,CORE→Q1→Q2→Q3→Triage→[추가확인만 ELECTRE/SMAA]→External Evidence→Human Review→Routing,False,True,검토 기능 제안이며 특정 사업·예산·지원대상 선정이 아님
