source_scheme,source_category,source_code,target_kicox_industry,mapping_type,mapping_confidence,rationale,source
KSIC 중분류,식료품 제조업,10,음식료,direct,A,음료(11)와 함께 '음식료'에 대응,통계청 한국표준산업분류(KSIC) 제10차·제11차 중분류
KSIC 중분류,음료 제조업,11,음식료,direct,A,식료품(10)과 함께 '음식료'에 대응,통계청 한국표준산업분류(KSIC) 제10차·제11차 중분류
KSIC 중분류,섬유제품 제조업(의복 제외),13,섬유의복,direct,A,의복(14)과 함께 대응,통계청 한국표준산업분류(KSIC) 제10차·제11차 중분류
KSIC 중분류,의복·의복액세서리 및 모피제품 제조업,14,섬유의복,direct,A,섬유(13)와 함께 대응,통계청 한국표준산업분류(KSIC) 제10차·제11차 중분류
KSIC 중분류,가죽·가방 및 신발 제조업,15,섬유의복,approximate,B,KICOX '섬유의복' 범위에 가죽이 포함되는지 공표 정의로 확정 불가. 부분포함 가능,통계청 한국표준산업분류(KSIC) 제10차·제11차 중분류
KSIC 중분류,목재 및 나무제품 제조업(가구 제외),16,목재종이,direct,A,펄프·종이(17)와 함께 대응,통계청 한국표준산업분류(KSIC) 제10차·제11차 중분류
KSIC 중분류,펄프·종이 및 종이제품 제조업,17,목재종이,direct,A,목재(16)와 함께 대응,통계청 한국표준산업분류(KSIC) 제10차·제11차 중분류
KSIC 중분류,인쇄 및 기록매체 복제업,18,목재종이,ambiguous,C,KICOX '목재종이'에 인쇄가 포함되는지 불확실,통계청 한국표준산업분류(KSIC) 제10차·제11차 중분류
KSIC 중분류,코크스·연탄 및 석유정제품 제조업,19,석유화학,direct,A,화학(20)과 함께 대응,통계청 한국표준산업분류(KSIC) 제10차·제11차 중분류
KSIC 중분류,화학물질 및 화학제품 제조업(의약품 제외),20,석유화학,direct,A,석유정제(19)와 함께 대응,통계청 한국표준산업분류(KSIC) 제10차·제11차 중분류
KSIC 중분류,의료용 물질 및 의약품 제조업,21,석유화학,ambiguous,C,의약품이 '석유화학'에 포함되는지 불확실,통계청 한국표준산업분류(KSIC) 제10차·제11차 중분류
KSIC 중분류,고무 및 플라스틱제품 제조업,22,석유화학,approximate,B,관행상 화학계열로 묶이나 KICOX 공표 정의로 확정 불가,통계청 한국표준산업분류(KSIC) 제10차·제11차 중분류
KSIC 중분류,비금속 광물제품 제조업,23,비금속,direct,A,명칭·범위 직접 대응,통계청 한국표준산업분류(KSIC) 제10차·제11차 중분류
KSIC 중분류,1차 금속 제조업,24,철강,approximate,B,24는 비철금속도 포함해 '철강'보다 범위가 넓다,통계청 한국표준산업분류(KSIC) 제10차·제11차 중분류
KSIC 중분류,금속가공제품 제조업(기계·가구 제외),25,기계,ambiguous,C,KICOX 에서 금속가공이 '철강'과 '기계' 중 어디로 집계되는지 공표 정의로 확정 불가,통계청 한국표준산업분류(KSIC) 제10차·제11차 중분류
KSIC 중분류,전자부품·컴퓨터·영상·음향·통신장비 제조업,26,전기전자,direct,A,28과 함께 대응,통계청 한국표준산업분류(KSIC) 제10차·제11차 중분류
KSIC 중분류,의료·정밀·광학기기 및 시계 제조업,27,전기전자,approximate,B,KICOX '전기전자'에 포함되는 것으로 보이나 의료기기 범위가 불확실,통계청 한국표준산업분류(KSIC) 제10차·제11차 중분류
KSIC 중분류,전기장비 제조업,28,전기전자,direct,A,26과 함께 대응,통계청 한국표준산업분류(KSIC) 제10차·제11차 중분류
KSIC 중분류,기타 기계 및 장비 제조업,29,기계,direct,A,KICOX '기계'의 중심 범위,통계청 한국표준산업분류(KSIC) 제10차·제11차 중분류
KSIC 중분류,자동차 및 트레일러 제조업,30,운송장비,direct,A,31과 함께 대응,통계청 한국표준산업분류(KSIC) 제10차·제11차 중분류
KSIC 중분류,기타 운송장비 제조업,31,운송장비,direct,A,30과 함께 대응,통계청 한국표준산업분류(KSIC) 제10차·제11차 중분류
KSIC 중분류,가구 제조업,32,기타,ambiguous,C,KICOX '기타' 구성 미공표,통계청 한국표준산업분류(KSIC) 제10차·제11차 중분류
KSIC 중분류,기타 제품 제조업,33,기타,ambiguous,C,KICOX '기타' 구성 미공표,통계청 한국표준산업분류(KSIC) 제10차·제11차 중분류
