source_scheme,source_category,source_code,target_kicox_industry,mapping_type,mapping_confidence,rationale,source
HS 류(2단위),곡물·육·수산·조제식료품 등,01-24,음식료,approximate,B,식품류 전반. 6단위 열거가 필요해 자동 집계는 부분적,관세청 HS 부호(류 2단위). 관세청 시군구별 품목별 수출입실적 API 는 HS 6단위를 요구한다
HS 류(2단위),방직용 섬유·의류,50-63,섬유의복,approximate,B,섬유·의류 전반,관세청 HS 부호(류 2단위). 관세청 시군구별 품목별 수출입실적 API 는 HS 6단위를 요구한다
HS 류(2단위),목재·펄프·지류,44-49,목재종이,approximate,B,목재·종이 전반,관세청 HS 부호(류 2단위). 관세청 시군구별 품목별 수출입실적 API 는 HS 6단위를 요구한다
HS 류(2단위),광물성 연료·화학공업 생산품·플라스틱·고무,27-40,석유화학,approximate,B,석유정제·화학·플라스틱·고무 전반,관세청 HS 부호(류 2단위). 관세청 시군구별 품목별 수출입실적 API 는 HS 6단위를 요구한다
HS 류(2단위),토석류·도자·유리,68-70,비금속,approximate,B,비금속광물 전반,관세청 HS 부호(류 2단위). 관세청 시군구별 품목별 수출입실적 API 는 HS 6단위를 요구한다
HS 류(2단위),철강 및 철강제품,72-73,철강,direct,A,철강 직접 대응,관세청 HS 부호(류 2단위). 관세청 시군구별 품목별 수출입실적 API 는 HS 6단위를 요구한다
HS 류(2단위),비철금속(구리·알루미늄 등),74-81,철강,ambiguous,C,KICOX '철강'이 비철을 포함하는지 불확실. 억지로 배정하지 않는다,관세청 HS 부호(류 2단위). 관세청 시군구별 품목별 수출입실적 API 는 HS 6단위를 요구한다
HS 류(2단위),원자로·보일러·기계류,84,기계,approximate,B,84는 전산기기(8471 등)를 포함해 '전기전자'와 겹친다. 6단위 분리 필요,관세청 HS 부호(류 2단위). 관세청 시군구별 품목별 수출입실적 API 는 HS 6단위를 요구한다
HS 류(2단위),전기기기·음향영상기기,85,전기전자,approximate,B,85 전반이 전기전자에 대응,관세청 HS 부호(류 2단위). 관세청 시군구별 품목별 수출입실적 API 는 HS 6단위를 요구한다
HS 류(2단위),철도차량,86,운송장비,direct,A,기타 운송장비,관세청 HS 부호(류 2단위). 관세청 시군구별 품목별 수출입실적 API 는 HS 6단위를 요구한다
HS 류(2단위),자동차 및 부품,87,운송장비,direct,A,자동차·부품,관세청 HS 부호(류 2단위). 관세청 시군구별 품목별 수출입실적 API 는 HS 6단위를 요구한다
HS 류(2단위),항공기,88,운송장비,direct,A,기타 운송장비,관세청 HS 부호(류 2단위). 관세청 시군구별 품목별 수출입실적 API 는 HS 6단위를 요구한다
HS 류(2단위),선박,89,운송장비,direct,A,기타 운송장비(조선),관세청 HS 부호(류 2단위). 관세청 시군구별 품목별 수출입실적 API 는 HS 6단위를 요구한다
HS 류(2단위),광학·의료·정밀기기,90,전기전자,ambiguous,C,KSIC 27 대응 여부가 불확실한 것과 같은 이유,관세청 HS 부호(류 2단위). 관세청 시군구별 품목별 수출입실적 API 는 HS 6단위를 요구한다
HS 류(2단위),가구·완구·잡품,94-96,기타,ambiguous,C,KICOX '기타' 구성 미공표,관세청 HS 부호(류 2단위). 관세청 시군구별 품목별 수출입실적 API 는 HS 6단위를 요구한다
