industry,quarter,stage,signal_profile,nominal_production_yoy,ppi_mapping_grade,ppi_adjusted_production_yoy,ppi_adjusted_low,ppi_adjusted_high,industry_direction,mapping_confidence,trade_export_yoy,trade_mapping_grade,trade_coverage_status,power_usage_yoy,power_scope,bsi_region_business,bsi_industry_business,mfg_flow_period,mfg_flow_job_openings,check_questions_context,handoff_review_functions,kepco_legal_dong_role,kepco_legal_dong_observation_period,kepco_legal_dong_suppression_pct_all,kepco_legal_dong_complete_industry_quarters,kepco_legal_dong_2026q2_available,kepco_legal_dong_note,kepco_legal_mapping_grade,kepco_legal_ksic_codes,kepco_legal_industry_suppression_rate,kepco_legal_proxy_dong_coverage,kepco_legal_first_month,kepco_legal_last_month,kepco_legal_complete_quarter_count,kepco_legal_available_2026q2_by_industry,jobs_role,jobs_snapshot_postings_all_industries,jobs_registration_period,jobs_industry_signal_usable,jobs_note
기계,2026Q2,우선점검,가동 위축 신호 · 실질생산 위축 신호(PPI 조정),-19.547350877543444,A,-20.54717489973789,-20.54717489973789,-20.54717489973789,비교자료 없음,,-38.09862942514902,B,usable,0.7525960582029922,창원시 전역 제조업 총계 전력사용량 · 월→분기 합계. 업종별 값이 아니며 가동률과 개념·모집단이 다르다.,74.67,76.84,202601,513.0,"가동률 하락이 일시적 생산조정인지 수주·수요 감소에 따른 것인지 확인할 필요가 있다.
명목생산 변화에 가격효과가 포함되어 있으므로 실제 물량이 줄었는지 추가로 확인할 필요가 있다.
확인된 품목 기준 수출이 함께 감소하고 있어, 외부수요 약화 가능성을 보려면 수출 감소가 특정 품목·기업에 집중되는지 추가 확인할 필요가 있다.
창원시 제조업 전체에서 이직자 증가가 함께 관측되므로, 특정 사업장 조정 또는 노동이동과 관련된 것인지 추가 확인할 필요가 있다.
가동률과 전력사용의 방향이 달라 업종 구성·설비 특성·자료범위(산단 vs 시 전체) 차이를 추가 확인할 필요가 있다.
경남 제조업 업황 심리지수가 기준선(100)을 밑돌아, 업종 고유 요인인지 지역 전반의 경기 흐름인지 구분해 확인할 필요가 있다.
같은 업종의 전국 업황 심리지수도 기준선을 밑돌아, 관측된 변화가 산단 고유 현상인지 전국 업종 흐름인지 확인할 필요가 있다.
이 분기는 월별 원자료가 공표되지 않아 분기 내 지속 여부를 확인할 수 없다. 분기말 단일시점 값에만 의존한 판단임을 감안할 필요가 있다.
연간보정 개정본을 사용한 구간이다. 이후 재개정 시 값이 달라질 수 있음을 확인할 필요가 있다.",산업동향 · 기업지원 / 산업동향 / 고용지원,CONTEXT,2022-04~2026-03,40.4717,0,False,18개 제조업 집적 법정동 proxy; 산단 경계 아님. 비식별 셀을 0·대체·추정하지 않으며 공개 셀 합계를 업종 전체로 해석하지 않음,C,25(C)|29(A),0.0341435185185185,18/18,2022-04,2026-03,0,False,CONTEXT,1504,26-07-20~26-09-18,False,업종코드·모집인원·역사 시계열이 없어 업종별 수치 신호로 사용하지 않음; 담당자 현재 공고 확인용
기타,2026Q2,관찰,업체수 감소 신호,3.033256182238997,D,,,,비교자료 없음,,,,no_mapped_chapter,0.7525960582029922,창원시 전역 제조업 총계 전력사용량 · 월→분기 합계. 업종별 값이 아니며 가동률과 개념·모집단이 다르다.,74.67,,202601,513.0,"가동업체 감소가 실제 퇴거·폐업·통합·휴업에 따른 것인지, 아니면 조사대상 변동이나 집계기준 변경에 따른 것인지 확인할 필요가 있다.
창원시 제조업 전체에서 이직자 증가가 함께 관측되므로, 특정 사업장 조정 또는 노동이동과 관련된 것인지 추가 확인할 필요가 있다.
경남 제조업 업황 심리지수가 기준선(100)을 밑돌아, 업종 고유 요인인지 지역 전반의 경기 흐름인지 구분해 확인할 필요가 있다.
이 업종은 생산자물가지수 대응 후보가 복수이거나 없어, PPI 조정 생산을 단일값으로 해석하지 않고 원자료로 확인할 필요가 있다.
업체수·고용 규모가 작아 비율 변동이 크게 나타난다. 절대 증감 개수로 다시 확인할 필요가 있다.
이 분기는 월별 원자료가 공표되지 않아 분기 내 지속 여부를 확인할 수 없다. 분기말 단일시점 값에만 의존한 판단임을 감안할 필요가 있다.
연간보정 개정본을 사용한 구간이다. 이후 재개정 시 값이 달라질 수 있음을 확인할 필요가 있다.",산업동향 · 기업지원 / 고용지원 / 산업동향,CONTEXT,2022-04~2026-03,40.4717,0,False,18개 제조업 집적 법정동 proxy; 산단 경계 아님. 비식별 셀을 0·대체·추정하지 않으며 공개 셀 합계를 업종 전체로 해석하지 않음,C,32(C)|33(C),0.5293056807935077,16/18,2022-04,2026-03,0,False,CONTEXT,1504,26-07-20~26-09-18,False,업종코드·모집인원·역사 시계열이 없어 업종별 수치 신호로 사용하지 않음; 담당자 현재 공고 확인용
목재종이,2026Q2,우선점검,실질생산 위축 신호(PPI 조정),-12.897127553431709,A,-15.289242445913676,-15.289242445913676,-15.289242445913676,비교자료 없음,,,,no_mapped_chapter,0.7525960582029922,창원시 전역 제조업 총계 전력사용량 · 월→분기 합계. 업종별 값이 아니며 가동률과 개념·모집단이 다르다.,74.67,59.66,202601,513.0,"명목생산 변화에 가격효과가 포함되어 있으므로 실제 물량이 줄었는지 추가로 확인할 필요가 있다.
창원시 제조업 전체에서 이직자 증가가 함께 관측되므로, 특정 사업장 조정 또는 노동이동과 관련된 것인지 추가 확인할 필요가 있다.
경남 제조업 업황 심리지수가 기준선(100)을 밑돌아, 업종 고유 요인인지 지역 전반의 경기 흐름인지 구분해 확인할 필요가 있다.
같은 업종의 전국 업황 심리지수도 기준선을 밑돌아, 관측된 변화가 산단 고유 현상인지 전국 업종 흐름인지 확인할 필요가 있다.
이 분기는 월별 원자료가 공표되지 않아 분기 내 지속 여부를 확인할 수 없다. 분기말 단일시점 값에만 의존한 판단임을 감안할 필요가 있다.
연간보정 개정본을 사용한 구간이다. 이후 재개정 시 값이 달라질 수 있음을 확인할 필요가 있다.",산업동향 / 고용지원,CONTEXT,2022-04~2026-03,40.4717,0,False,18개 제조업 집적 법정동 proxy; 산단 경계 아님. 비식별 셀을 0·대체·추정하지 않으며 공개 셀 합계를 업종 전체로 해석하지 않음,C,16(A)|17(A)|18(C),0.502820874471086,13/18,2022-04,2026-03,0,False,CONTEXT,1504,26-07-20~26-09-18,False,업종코드·모집인원·역사 시계열이 없어 업종별 수치 신호로 사용하지 않음; 담당자 현재 공고 확인용
비금속,2026Q2,관찰,업체수 감소 신호 · 생산유지·고용감소 신호,45.67070435172722,A,40.86066752464284,40.86066752464284,40.86066752464284,비교자료 없음,,,,no_mapped_chapter,0.7525960582029922,창원시 전역 제조업 총계 전력사용량 · 월→분기 합계. 업종별 값이 아니며 가동률과 개념·모집단이 다르다.,74.67,65.33,202601,513.0,"가동업체 감소가 실제 퇴거·폐업·통합·휴업에 따른 것인지, 아니면 조사대상 변동이나 집계기준 변경에 따른 것인지 확인할 필요가 있다.
생산이 유지되는데 고용이 감소하고 있어 자동화·생산성 변화·미충원·외주화·인력구조 조정 여부를 확인할 필요가 있다.
창원시 제조업 전체에서 이직자 증가가 함께 관측되므로, 특정 사업장 조정 또는 노동이동과 관련된 것인지 추가 확인할 필요가 있다.
경남 제조업 업황 심리지수가 기준선(100)을 밑돌아, 업종 고유 요인인지 지역 전반의 경기 흐름인지 구분해 확인할 필요가 있다.
같은 업종의 전국 업황 심리지수도 기준선을 밑돌아, 관측된 변화가 산단 고유 현상인지 전국 업종 흐름인지 확인할 필요가 있다.
업체수·고용 규모가 작아 비율 변동이 크게 나타난다. 절대 증감 개수로 다시 확인할 필요가 있다.
이 분기는 월별 원자료가 공표되지 않아 분기 내 지속 여부를 확인할 수 없다. 분기말 단일시점 값에만 의존한 판단임을 감안할 필요가 있다.
연간보정 개정본을 사용한 구간이다. 이후 재개정 시 값이 달라질 수 있음을 확인할 필요가 있다.",산업동향 · 기업지원 / 고용지원 · 직업훈련 / 고용지원 / 산업동향,CONTEXT,2022-04~2026-03,40.4717,0,False,18개 제조업 집적 법정동 proxy; 산단 경계 아님. 비식별 셀을 0·대체·추정하지 않으며 공개 셀 합계를 업종 전체로 해석하지 않음,A,23(A),0.5433673469387755,17/18,2022-04,2026-03,0,False,CONTEXT,1504,26-07-20~26-09-18,False,업종코드·모집인원·역사 시계열이 없어 업종별 수치 신호로 사용하지 않음; 담당자 현재 공고 확인용
석유화학,2026Q2,관찰,가동 위축 신호,-6.729849384858399,C,,-45.53735290115512,-21.723914561709645,비교자료 없음,,,,no_mapped_chapter,0.7525960582029922,창원시 전역 제조업 총계 전력사용량 · 월→분기 합계. 업종별 값이 아니며 가동률과 개념·모집단이 다르다.,74.67,74.44,202601,513.0,"가동률 하락이 일시적 생산조정인지 수주·수요 감소에 따른 것인지 확인할 필요가 있다.
창원시 제조업 전체에서 이직자 증가가 함께 관측되므로, 특정 사업장 조정 또는 노동이동과 관련된 것인지 추가 확인할 필요가 있다.
가동률과 전력사용의 방향이 달라 업종 구성·설비 특성·자료범위(산단 vs 시 전체) 차이를 추가 확인할 필요가 있다.
경남 제조업 업황 심리지수가 기준선(100)을 밑돌아, 업종 고유 요인인지 지역 전반의 경기 흐름인지 구분해 확인할 필요가 있다.
같은 업종의 전국 업황 심리지수도 기준선을 밑돌아, 관측된 변화가 산단 고유 현상인지 전국 업종 흐름인지 확인할 필요가 있다.
이 업종은 생산자물가지수 대응 후보가 복수이거나 없어, PPI 조정 생산을 단일값으로 해석하지 않고 원자료로 확인할 필요가 있다.
이 분기는 월별 원자료가 공표되지 않아 분기 내 지속 여부를 확인할 수 없다. 분기말 단일시점 값에만 의존한 판단임을 감안할 필요가 있다.
연간보정 개정본을 사용한 구간이다. 이후 재개정 시 값이 달라질 수 있음을 확인할 필요가 있다.",산업동향 · 기업지원 / 고용지원 / 산업동향,CONTEXT,2022-04~2026-03,40.4717,0,False,18개 제조업 집적 법정동 proxy; 산단 경계 아님. 비식별 셀을 0·대체·추정하지 않으며 공개 셀 합계를 업종 전체로 해석하지 않음,C,19(A)|20(A)|21(C)|22(B),0.4834733893557423,18/18,2022-04,2026-03,0,False,CONTEXT,1504,26-07-20~26-09-18,False,업종코드·모집인원·역사 시계열이 없어 업종별 수치 신호로 사용하지 않음; 담당자 현재 공고 확인용
섬유의복,2026Q2,관찰,가동 위축 신호 · 실질생산 위축 신호(PPI 조정),-12.319670818395734,A,-15.169756617058972,-15.169756617058972,-15.169756617058972,비교자료 없음,,,,no_mapped_chapter,0.7525960582029922,창원시 전역 제조업 총계 전력사용량 · 월→분기 합계. 업종별 값이 아니며 가동률과 개념·모집단이 다르다.,74.67,60.16,202601,513.0,"가동률 하락이 일시적 생산조정인지 수주·수요 감소에 따른 것인지 확인할 필요가 있다.
명목생산 변화에 가격효과가 포함되어 있으므로 실제 물량이 줄었는지 추가로 확인할 필요가 있다.
창원시 제조업 전체에서 이직자 증가가 함께 관측되므로, 특정 사업장 조정 또는 노동이동과 관련된 것인지 추가 확인할 필요가 있다.
가동률과 전력사용의 방향이 달라 업종 구성·설비 특성·자료범위(산단 vs 시 전체) 차이를 추가 확인할 필요가 있다.
경남 제조업 업황 심리지수가 기준선(100)을 밑돌아, 업종 고유 요인인지 지역 전반의 경기 흐름인지 구분해 확인할 필요가 있다.
같은 업종의 전국 업황 심리지수도 기준선을 밑돌아, 관측된 변화가 산단 고유 현상인지 전국 업종 흐름인지 확인할 필요가 있다.
업체수·고용 규모가 작아 비율 변동이 크게 나타난다. 절대 증감 개수로 다시 확인할 필요가 있다.
이 분기는 월별 원자료가 공표되지 않아 분기 내 지속 여부를 확인할 수 없다. 분기말 단일시점 값에만 의존한 판단임을 감안할 필요가 있다.
연간보정 개정본을 사용한 구간이다. 이후 재개정 시 값이 달라질 수 있음을 확인할 필요가 있다.",산업동향 · 기업지원 / 산업동향 / 고용지원,CONTEXT,2022-04~2026-03,40.4717,0,False,18개 제조업 집적 법정동 proxy; 산단 경계 아님. 비식별 셀을 0·대체·추정하지 않으며 공개 셀 합계를 업종 전체로 해석하지 않음,B,13(A)|14(A)|15(B),0.8851203501094091,12/18,2022-04,2026-03,0,False,CONTEXT,1504,26-07-20~26-09-18,False,업종코드·모집인원·역사 시계열이 없어 업종별 수치 신호로 사용하지 않음; 담당자 현재 공고 확인용
운송장비,2026Q2,관찰,해석 보류,19.64333200865325,A,17.240435355443175,17.240435355443175,17.240435355443175,비교자료 없음,,-2.9722912887112707,A,usable,0.7525960582029922,창원시 전역 제조업 총계 전력사용량 · 월→분기 합계. 업종별 값이 아니며 가동률과 개념·모집단이 다르다.,74.67,90.83,202601,513.0,"창원시 제조업 전체에서 이직자 증가가 함께 관측되므로, 특정 사업장 조정 또는 노동이동과 관련된 것인지 추가 확인할 필요가 있다.
경남 제조업 업황 심리지수가 기준선(100)을 밑돌아, 업종 고유 요인인지 지역 전반의 경기 흐름인지 구분해 확인할 필요가 있다.
같은 업종의 전국 업황 심리지수도 기준선을 밑돌아, 관측된 변화가 산단 고유 현상인지 전국 업종 흐름인지 확인할 필요가 있다.
이 분기는 월별 원자료가 공표되지 않아 분기 내 지속 여부를 확인할 수 없다. 분기말 단일시점 값에만 의존한 판단임을 감안할 필요가 있다.
연간보정 개정본을 사용한 구간이다. 이후 재개정 시 값이 달라질 수 있음을 확인할 필요가 있다.",고용지원 / 산업동향,CONTEXT,2022-04~2026-03,40.4717,0,False,18개 제조업 집적 법정동 proxy; 산단 경계 아님. 비식별 셀을 0·대체·추정하지 않으며 공개 셀 합계를 업종 전체로 해석하지 않음,A,30(A)|31(A),0.2010550996483001,18/18,2022-04,2026-03,0,False,CONTEXT,1504,26-07-20~26-09-18,False,업종코드·모집인원·역사 시계열이 없어 업종별 수치 신호로 사용하지 않음; 담당자 현재 공고 확인용
음식료,2026Q2,관찰,해석 보류,0.8734323986208103,A,-0.7793172719912755,-0.7793172719912755,-0.7793172719912755,비교자료 없음,,,,no_mapped_chapter,0.7525960582029922,창원시 전역 제조업 총계 전력사용량 · 월→분기 합계. 업종별 값이 아니며 가동률과 개념·모집단이 다르다.,74.67,66.16,202601,513.0,"창원시 제조업 전체에서 이직자 증가가 함께 관측되므로, 특정 사업장 조정 또는 노동이동과 관련된 것인지 추가 확인할 필요가 있다.
가동률과 전력사용의 방향이 달라 업종 구성·설비 특성·자료범위(산단 vs 시 전체) 차이를 추가 확인할 필요가 있다.
경남 제조업 업황 심리지수가 기준선(100)을 밑돌아, 업종 고유 요인인지 지역 전반의 경기 흐름인지 구분해 확인할 필요가 있다.
같은 업종의 전국 업황 심리지수도 기준선을 밑돌아, 관측된 변화가 산단 고유 현상인지 전국 업종 흐름인지 확인할 필요가 있다.
명목생산과 PPI 조정 생산의 방향이 달라, 이 분기의 생산 변화가 가격 때문인지 물량 때문인지 확인할 필요가 있다.
업체수·고용 규모가 작아 비율 변동이 크게 나타난다. 절대 증감 개수로 다시 확인할 필요가 있다.
이 분기는 월별 원자료가 공표되지 않아 분기 내 지속 여부를 확인할 수 없다. 분기말 단일시점 값에만 의존한 판단임을 감안할 필요가 있다.
연간보정 개정본을 사용한 구간이다. 이후 재개정 시 값이 달라질 수 있음을 확인할 필요가 있다.",고용지원 / 산업동향,CONTEXT,2022-04~2026-03,40.4717,0,False,18개 제조업 집적 법정동 proxy; 산단 경계 아님. 비식별 셀을 0·대체·추정하지 않으며 공개 셀 합계를 업종 전체로 해석하지 않음,A,10(A)|11(A),0.515230635335074,16/18,2022-04,2026-03,0,False,CONTEXT,1504,26-07-20~26-09-18,False,업종코드·모집인원·역사 시계열이 없어 업종별 수치 신호로 사용하지 않음; 담당자 현재 공고 확인용
전기전자,2026Q2,관찰,해석 보류,2.697876409158262,C,,-15.114355717979478,-5.165173954576785,비교자료 없음,,9.026548370118736,B,usable,0.7525960582029922,창원시 전역 제조업 총계 전력사용량 · 월→분기 합계. 업종별 값이 아니며 가동률과 개념·모집단이 다르다.,74.67,86.67,202601,513.0,"확인된 품목 기준 수출은 유지·확대되는데 고용이 감소하고 있어 생산성·자동화·기업구성 변화 등의 가능성을 추가 확인할 필요가 있다.
창원시 제조업 전체에서 이직자 증가가 함께 관측되므로, 특정 사업장 조정 또는 노동이동과 관련된 것인지 추가 확인할 필요가 있다.
가동률과 전력사용의 방향이 달라 업종 구성·설비 특성·자료범위(산단 vs 시 전체) 차이를 추가 확인할 필요가 있다.
경남 제조업 업황 심리지수가 기준선(100)을 밑돌아, 업종 고유 요인인지 지역 전반의 경기 흐름인지 구분해 확인할 필요가 있다.
같은 업종의 전국 업황 심리지수도 기준선을 밑돌아, 관측된 변화가 산단 고유 현상인지 전국 업종 흐름인지 확인할 필요가 있다.
이 업종은 생산자물가지수 대응 후보가 복수이거나 없어, PPI 조정 생산을 단일값으로 해석하지 않고 원자료로 확인할 필요가 있다.
이 분기는 월별 원자료가 공표되지 않아 분기 내 지속 여부를 확인할 수 없다. 분기말 단일시점 값에만 의존한 판단임을 감안할 필요가 있다.
연간보정 개정본을 사용한 구간이다. 이후 재개정 시 값이 달라질 수 있음을 확인할 필요가 있다.",고용지원 · 직업훈련 / 고용지원 / 산업동향,CONTEXT,2022-04~2026-03,40.4717,0,False,18개 제조업 집적 법정동 proxy; 산단 경계 아님. 비식별 셀을 0·대체·추정하지 않으며 공개 셀 합계를 업종 전체로 해석하지 않음,B,26(A)|27(B)|28(A),0.2292252107587314,18/18,2022-04,2026-03,0,False,CONTEXT,1504,26-07-20~26-09-18,False,업종코드·모집인원·역사 시계열이 없어 업종별 수치 신호로 사용하지 않음; 담당자 현재 공고 확인용
철강,2026Q2,관찰,생산유지·고용감소 신호,32.648709569813406,B,25.28092342922961,25.28092342922961,25.28092342922961,비교자료 없음,,-5.799061802614203,A,usable,0.7525960582029922,창원시 전역 제조업 총계 전력사용량 · 월→분기 합계. 업종별 값이 아니며 가동률과 개념·모집단이 다르다.,74.67,70.33,202601,513.0,"생산이 유지되는데 고용이 감소하고 있어 자동화·생산성 변화·미충원·외주화·인력구조 조정 여부를 확인할 필요가 있다.
확인된 품목 기준 수출이 함께 감소하고 있어, 외부수요 약화 가능성을 보려면 수출 감소가 특정 품목·기업에 집중되는지 추가 확인할 필요가 있다.
창원시 제조업 전체에서 이직자 증가가 함께 관측되므로, 특정 사업장 조정 또는 노동이동과 관련된 것인지 추가 확인할 필요가 있다.
경남 제조업 업황 심리지수가 기준선(100)을 밑돌아, 업종 고유 요인인지 지역 전반의 경기 흐름인지 구분해 확인할 필요가 있다.
같은 업종의 전국 업황 심리지수도 기준선을 밑돌아, 관측된 변화가 산단 고유 현상인지 전국 업종 흐름인지 확인할 필요가 있다.
이 분기는 월별 원자료가 공표되지 않아 분기 내 지속 여부를 확인할 수 없다. 분기말 단일시점 값에만 의존한 판단임을 감안할 필요가 있다.
연간보정 개정본을 사용한 구간이다. 이후 재개정 시 값이 달라질 수 있음을 확인할 필요가 있다.",고용지원 · 직업훈련 / 산업동향 · 기업지원 / 고용지원 / 산업동향,CONTEXT,2022-04~2026-03,40.4717,0,False,18개 제조업 집적 법정동 proxy; 산단 경계 아님. 비식별 셀을 0·대체·추정하지 않으며 공개 셀 합계를 업종 전체로 해석하지 않음,B,24(B),0.2941176470588235,17/18,2022-04,2026-03,0,False,CONTEXT,1504,26-07-20~26-09-18,False,업종코드·모집인원·역사 시계열이 없어 업종별 수치 신호로 사용하지 않음; 담당자 현재 공고 확인용
