industry,quarter,triage_stage_preserved,stage_reason,g1,g2,g3,g4,electre_stage,electre_specification,boundary_action,review_queue_group,cai_observe,cai_check,cai_priority,cai_undetermined,necessary_stage,possible_stages,n_possible,smaa_parameter_sensitive,smaa_note,prereg_status,ppi_mapping_grade,ppi_adjusted_production_yoy,cross_source_available,trade_data_available,power_data_available,bsi_data_available,mfg_flow_data_available,external_data_used_as_electre_criterion,external_evidence_role,check_questions_context,handoff_review_functions
목재종이,2023Q4,추가확인,고용감소 9.1%(진입경계 5% 통과) · 산단평균 대비 10.2%p 열위(상위경계 통과) [상위경계 통과했으나 고용 239인 < 300인으로 우선점검 제외] [생산자료 미확인; 확인 가능한 신호에 따른 최소판정],24.0,9.125475285171104,,5.0,UNDETERMINED,D_small_indifference (same archived run as compatible CAI),자료·모형 불확실성 우선 확인,1 자료·모형 불확실 확인,0.0,0.0,0.0,1.0,UNDETERMINED,UNDETERMINED,1,False,CAI는 명시한 호환 파라미터 표집에서의 배정 비중이며 위기확률·정답률이 아님,DRAFT,A,,False,False,True,True,True,False,ELECTRE 이후 해석·교차확인; 판정 가중치나 veto로 사용하지 않음,"가동률 하락이 일시적 생산조정인지 수주·수요 감소에 따른 것인지 확인할 필요가 있다.
가동률 하락과 창원시 제조업 전력사용 감소가 함께 나타나 실제 생산활동 위축 여부를 추가 확인할 필요가 있다. 다만 전력은 시 전체 제조업 총계이므로 이 업종의 값이 아니다.
경남 제조업 업황 심리지수가 기준선(100)을 밑돌아, 업종 고유 요인인지 지역 전반의 경기 흐름인지 구분해 확인할 필요가 있다.
같은 업종의 전국 업황 심리지수도 기준선을 밑돌아, 관측된 변화가 산단 고유 현상인지 전국 업종 흐름인지 확인할 필요가 있다.
업체수·고용 규모가 작아 비율 변동이 크게 나타난다. 절대 증감 개수로 다시 확인할 필요가 있다.
입력 자료 일부가 미확인이다. 결측을 0이나 정상으로 읽지 말고 원자료 확인이 필요하다.
연간보정 개정본을 사용한 구간이다. 이후 재개정 시 값이 달라질 수 있음을 확인할 필요가 있다.",산업동향 · 기업지원 / 산업동향
섬유의복,2023Q4,추가확인,고용감소 40.6%(상위경계 10% 통과) · 산단평균 대비 41.7%p 열위(상위경계 통과) [상위경계 통과했으나 고용 38인 < 300인으로 우선점검 제외] [생산자료 미확인; 확인 가능한 신호에 따른 최소판정],26.0,40.625,,1.0,UNDETERMINED,D_small_indifference (same archived run as compatible CAI),자료·모형 불확실성 우선 확인,1 자료·모형 불확실 확인,0.0,0.0,0.0,1.0,UNDETERMINED,UNDETERMINED,1,False,CAI는 명시한 호환 파라미터 표집에서의 배정 비중이며 위기확률·정답률이 아님,DRAFT,A,,False,False,True,True,True,False,ELECTRE 이후 해석·교차확인; 판정 가중치나 veto로 사용하지 않음,"가동업체 감소가 실제 퇴거·폐업·통합·휴업에 따른 것인지, 아니면 조사대상 변동이나 집계기준 변경에 따른 것인지 확인할 필요가 있다.
가동률과 전력사용의 방향이 달라 업종 구성·설비 특성·자료범위(산단 vs 시 전체) 차이를 추가 확인할 필요가 있다.
경남 제조업 업황 심리지수가 기준선(100)을 밑돌아, 업종 고유 요인인지 지역 전반의 경기 흐름인지 구분해 확인할 필요가 있다.
같은 업종의 전국 업황 심리지수도 기준선을 밑돌아, 관측된 변화가 산단 고유 현상인지 전국 업종 흐름인지 확인할 필요가 있다.
업체수·고용 규모가 작아 비율 변동이 크게 나타난다. 절대 증감 개수로 다시 확인할 필요가 있다.
입력 자료 일부가 미확인이다. 결측을 0이나 정상으로 읽지 말고 원자료 확인이 필요하다.
연간보정 개정본을 사용한 구간이다. 이후 재개정 시 값이 달라질 수 있음을 확인할 필요가 있다.",산업동향 · 기업지원 / 산업동향
목재종이,2024Q4,추가확인,고용감소 10.5%(상위경계 10% 통과) · 산단평균 대비 11.4%p 열위(상위경계 통과) [상위경계 통과했으나 고용 214인 < 300인으로 우선점검 제외] [생산자료 미확인; 확인 가능한 신호에 따른 최소판정],25.0,10.460251046025103,,9.0,UNDETERMINED,D_small_indifference (same archived run as compatible CAI),자료·모형 불확실성 우선 확인,1 자료·모형 불확실 확인,0.0,0.0,0.0,1.0,UNDETERMINED,UNDETERMINED,1,False,CAI는 명시한 호환 파라미터 표집에서의 배정 비중이며 위기확률·정답률이 아님,DRAFT,A,,False,False,True,True,True,False,ELECTRE 이후 해석·교차확인; 판정 가중치나 veto로 사용하지 않음,"창원시 제조업 전체에서 입직자 감소가 함께 관측되므로, 고용 감소가 신규 채용 둔화와 함께 나타나는지 확인할 필요가 있다.
가동률과 전력사용의 방향이 달라 업종 구성·설비 특성·자료범위(산단 vs 시 전체) 차이를 추가 확인할 필요가 있다.
경남 제조업 업황 심리지수가 기준선(100)을 밑돌아, 업종 고유 요인인지 지역 전반의 경기 흐름인지 구분해 확인할 필요가 있다.
같은 업종의 전국 업황 심리지수도 기준선을 밑돌아, 관측된 변화가 산단 고유 현상인지 전국 업종 흐름인지 확인할 필요가 있다.
업체수·고용 규모가 작아 비율 변동이 크게 나타난다. 절대 증감 개수로 다시 확인할 필요가 있다.
가동률 공표 정의가 바뀐 구간이어서 당기와 전년동기의 산출방식이 다르다. 가동률 증감 해석 전에 정의 차이를 확인할 필요가 있다.
이 분기는 월별 원자료가 공표되지 않아 분기 내 지속 여부를 확인할 수 없다. 분기말 단일시점 값에만 의존한 판단임을 감안할 필요가 있다.
연간보정 개정본을 사용한 구간이다. 이후 재개정 시 값이 달라질 수 있음을 확인할 필요가 있다.",고용지원 · 직업훈련 / 산업동향
섬유의복,2024Q4,추가확인,고용감소 10.5%(상위경계 10% 통과) · 산단평균 대비 11.5%p 열위(상위경계 통과) [상위경계 통과했으나 고용 34인 < 300인으로 우선점검 제외] [생산자료 미확인; 확인 가능한 신호에 따른 최소판정],4.0,10.526315789473683,,5.0,UNDETERMINED,D_small_indifference (same archived run as compatible CAI),자료·모형 불확실성 우선 확인,1 자료·모형 불확실 확인,0.0,0.0,0.0,1.0,UNDETERMINED,UNDETERMINED,1,False,CAI는 명시한 호환 파라미터 표집에서의 배정 비중이며 위기확률·정답률이 아님,DRAFT,A,,False,False,True,True,True,False,ELECTRE 이후 해석·교차확인; 판정 가중치나 veto로 사용하지 않음,"가동률 하락이 일시적 생산조정인지 수주·수요 감소에 따른 것인지 확인할 필요가 있다.
창원시 제조업 전체에서 입직자 감소가 함께 관측되므로, 고용 감소가 신규 채용 둔화와 함께 나타나는지 확인할 필요가 있다.
가동률 하락과 창원시 제조업 전력사용 감소가 함께 나타나 실제 생산활동 위축 여부를 추가 확인할 필요가 있다. 다만 전력은 시 전체 제조업 총계이므로 이 업종의 값이 아니다.
경남 제조업 업황 심리지수가 기준선(100)을 밑돌아, 업종 고유 요인인지 지역 전반의 경기 흐름인지 구분해 확인할 필요가 있다.
같은 업종의 전국 업황 심리지수도 기준선을 밑돌아, 관측된 변화가 산단 고유 현상인지 전국 업종 흐름인지 확인할 필요가 있다.
업체수·고용 규모가 작아 비율 변동이 크게 나타난다. 절대 증감 개수로 다시 확인할 필요가 있다.
가동률 공표 정의가 바뀐 구간이어서 당기와 전년동기의 산출방식이 다르다. 가동률 증감 해석 전에 정의 차이를 확인할 필요가 있다.
이 분기는 월별 원자료가 공표되지 않아 분기 내 지속 여부를 확인할 수 없다. 분기말 단일시점 값에만 의존한 판단임을 감안할 필요가 있다.
연간보정 개정본을 사용한 구간이다. 이후 재개정 시 값이 달라질 수 있음을 확인할 필요가 있다.",산업동향 · 기업지원 / 고용지원 · 직업훈련 / 산업동향
섬유의복,2022Q1,추가확인,고용감소 11.4%(상위경계 10% 통과) · 산단평균 대비 11.6%p 열위(상위경계 통과) [상위경계 통과했으나 고용 39인 < 300인으로 우선점검 제외],5.0,11.363636363636363,0.0,2.0,OBSERVE,D_small_indifference (same archived run as compatible CAI),Triage-ELECTRE 불일치 확인(관찰로 자동 하향하지 않음),2 Triage-ELECTRE 불일치 확인,0.9765042979942692,0.0234957020057306,0.0,0.0,,OBSERVE|CHECK,2,True,CAI는 명시한 호환 파라미터 표집에서의 배정 비중이며 위기확률·정답률이 아님,DRAFT,A,86.29661700247253,False,False,True,True,True,False,ELECTRE 이후 해석·교차확인; 판정 가중치나 veto로 사용하지 않음,"가동업체 감소가 실제 퇴거·폐업·통합·휴업에 따른 것인지, 아니면 조사대상 변동이나 집계기준 변경에 따른 것인지 확인할 필요가 있다.
생산이 유지되는데 고용이 감소하고 있어 자동화·생산성 변화·미충원·외주화·인력구조 조정 여부를 확인할 필요가 있다.
창원시 제조업 전체에서 입직자 감소가 함께 관측되므로, 고용 감소가 신규 채용 둔화와 함께 나타나는지 확인할 필요가 있다.
경남 제조업 업황 심리지수가 기준선(100)을 밑돌아, 업종 고유 요인인지 지역 전반의 경기 흐름인지 구분해 확인할 필요가 있다.
같은 업종의 전국 업황 심리지수도 기준선을 밑돌아, 관측된 변화가 산단 고유 현상인지 전국 업종 흐름인지 확인할 필요가 있다.
업체수·고용 규모가 작아 비율 변동이 크게 나타난다. 절대 증감 개수로 다시 확인할 필요가 있다.
이 분기는 월별 원자료가 공표되지 않아 분기 내 지속 여부를 확인할 수 없다. 분기말 단일시점 값에만 의존한 판단임을 감안할 필요가 있다.",산업동향 · 기업지원 / 고용지원 · 직업훈련 / 산업동향
기타,2025Q1,추가확인,고용감소 15.0%(상위경계 10% 통과) · 산단평균 대비 17.6%p 열위(상위경계 통과) [상위경계 통과했으나 고용 147인 < 300인으로 우선점검 제외],26.0,15.02890173410405,0.0,1.0,OBSERVE,D_small_indifference (same archived run as compatible CAI),Triage-ELECTRE 불일치 확인(관찰로 자동 하향하지 않음),2 Triage-ELECTRE 불일치 확인,0.9696275071633238,0.0303724928366762,0.0,0.0,,OBSERVE|CHECK,2,True,CAI는 명시한 호환 파라미터 표집에서의 배정 비중이며 위기확률·정답률이 아님,DRAFT,D,,False,False,True,True,True,False,ELECTRE 이후 해석·교차확인; 판정 가중치나 veto로 사용하지 않음,"생산이 유지되는데 고용이 감소하고 있어 자동화·생산성 변화·미충원·외주화·인력구조 조정 여부를 확인할 필요가 있다.
창원시 제조업 전체에서 입직자 감소가 함께 관측되므로, 고용 감소가 신규 채용 둔화와 함께 나타나는지 확인할 필요가 있다.
가동률과 전력사용의 방향이 달라 업종 구성·설비 특성·자료범위(산단 vs 시 전체) 차이를 추가 확인할 필요가 있다.
경남 제조업 업황 심리지수가 기준선(100)을 밑돌아, 업종 고유 요인인지 지역 전반의 경기 흐름인지 구분해 확인할 필요가 있다.
이 업종은 생산자물가지수 대응 후보가 복수이거나 없어, PPI 조정 생산을 단일값으로 해석하지 않고 원자료로 확인할 필요가 있다.
업체수·고용 규모가 작아 비율 변동이 크게 나타난다. 절대 증감 개수로 다시 확인할 필요가 있다.
가동률 공표 정의가 바뀐 구간이어서 당기와 전년동기의 산출방식이 다르다. 가동률 증감 해석 전에 정의 차이를 확인할 필요가 있다.
이 분기는 월별 원자료가 공표되지 않아 분기 내 지속 여부를 확인할 수 없다. 분기말 단일시점 값에만 의존한 판단임을 감안할 필요가 있다.
연간보정 개정본을 사용한 구간이다. 이후 재개정 시 값이 달라질 수 있음을 확인할 필요가 있다.",고용지원 · 직업훈련 / 산업동향
기타,2022Q4,추가확인,고용감소 19.4%(상위경계 10% 통과) · 산단평균 대비 16.5%p 열위(상위경계 통과) [상위경계 통과했으나 고용 158인 < 300인으로 우선점검 제외],38.0,19.387755102040817,38.65204843850605,5.0,PRIORITY,D_small_indifference (same archived run as compatible CAI),추가확인군 내 우선 검토(우선점검으로 자동 승격하지 않음),3 파라미터 민감 우선검토 후보,0.064756446991404,0.0349570200573065,0.9002865329512894,0.0,,OBSERVE|CHECK|PRIORITY,3,True,CAI는 명시한 호환 파라미터 표집에서의 배정 비중이며 위기확률·정답률이 아님,DRAFT,D,,False,False,True,True,True,False,ELECTRE 이후 해석·교차확인; 판정 가중치나 veto로 사용하지 않음,"가동업체 감소가 실제 퇴거·폐업·통합·휴업에 따른 것인지, 아니면 조사대상 변동이나 집계기준 변경에 따른 것인지 확인할 필요가 있다.
창원시 제조업 전체에서 입직자 감소가 함께 관측되므로, 고용 감소가 신규 채용 둔화와 함께 나타나는지 확인할 필요가 있다.
가동률과 전력사용의 방향이 달라 업종 구성·설비 특성·자료범위(산단 vs 시 전체) 차이를 추가 확인할 필요가 있다.
경남 제조업 업황 심리지수가 기준선(100)을 밑돌아, 업종 고유 요인인지 지역 전반의 경기 흐름인지 구분해 확인할 필요가 있다.
이 업종은 생산자물가지수 대응 후보가 복수이거나 없어, PPI 조정 생산을 단일값으로 해석하지 않고 원자료로 확인할 필요가 있다.
업체수·고용 규모가 작아 비율 변동이 크게 나타난다. 절대 증감 개수로 다시 확인할 필요가 있다.
이 분기는 월별 원자료가 공표되지 않아 분기 내 지속 여부를 확인할 수 없다. 분기말 단일시점 값에만 의존한 판단임을 감안할 필요가 있다.
연간보정 개정본을 사용한 구간이다. 이후 재개정 시 값이 달라질 수 있음을 확인할 필요가 있다.",산업동향 · 기업지원 / 고용지원 · 직업훈련 / 산업동향
기타,2023Q1,추가확인,고용감소 24.6%(상위경계 10% 통과) · 산단평균 대비 21.6%p 열위(상위경계 통과) [상위경계 통과했으나 고용 147인 < 300인으로 우선점검 제외],48.0,24.615384615384617,52.11678607015089,6.0,PRIORITY,D_small_indifference (same archived run as compatible CAI),추가확인군 내 우선 검토(우선점검으로 자동 승격하지 않음),3 파라미터 민감 우선검토 후보,0.0550143266475644,0.0446991404011461,0.9002865329512894,0.0,,OBSERVE|CHECK|PRIORITY,3,True,CAI는 명시한 호환 파라미터 표집에서의 배정 비중이며 위기확률·정답률이 아님,DRAFT,D,,False,False,True,True,True,False,ELECTRE 이후 해석·교차확인; 판정 가중치나 veto로 사용하지 않음,"가동업체 감소가 실제 퇴거·폐업·통합·휴업에 따른 것인지, 아니면 조사대상 변동이나 집계기준 변경에 따른 것인지 확인할 필요가 있다.
가동률 하락이 일시적 생산조정인지 수주·수요 감소에 따른 것인지 확인할 필요가 있다.
창원시 제조업 전체에서 입직자 감소가 함께 관측되므로, 고용 감소가 신규 채용 둔화와 함께 나타나는지 확인할 필요가 있다.
가동률과 전력사용의 방향이 달라 업종 구성·설비 특성·자료범위(산단 vs 시 전체) 차이를 추가 확인할 필요가 있다.
경남 제조업 업황 심리지수가 기준선(100)을 밑돌아, 업종 고유 요인인지 지역 전반의 경기 흐름인지 구분해 확인할 필요가 있다.
이 업종은 생산자물가지수 대응 후보가 복수이거나 없어, PPI 조정 생산을 단일값으로 해석하지 않고 원자료로 확인할 필요가 있다.
업체수·고용 규모가 작아 비율 변동이 크게 나타난다. 절대 증감 개수로 다시 확인할 필요가 있다.
이 분기는 월별 원자료가 공표되지 않아 분기 내 지속 여부를 확인할 수 없다. 분기말 단일시점 값에만 의존한 판단임을 감안할 필요가 있다.
연간보정 개정본을 사용한 구간이다. 이후 재개정 시 값이 달라질 수 있음을 확인할 필요가 있다.",산업동향 · 기업지원 / 고용지원 · 직업훈련 / 산업동향
기타,2023Q2,추가확인,고용감소 18.6%(상위경계 10% 통과) · 산단평균 대비 15.6%p 열위(상위경계 통과) [상위경계 통과했으나 고용 158인 < 300인으로 우선점검 제외],36.0,18.55670103092784,39.718035049375,7.0,PRIORITY,D_small_indifference (same archived run as compatible CAI),추가확인군 내 우선 검토(우선점검으로 자동 승격하지 않음),3 파라미터 민감 우선검토 후보,0.0670487106017192,0.0326647564469914,0.9002865329512894,0.0,,OBSERVE|CHECK|PRIORITY,3,True,CAI는 명시한 호환 파라미터 표집에서의 배정 비중이며 위기확률·정답률이 아님,DRAFT,D,,False,False,True,True,True,False,ELECTRE 이후 해석·교차확인; 판정 가중치나 veto로 사용하지 않음,"가동업체 감소가 실제 퇴거·폐업·통합·휴업에 따른 것인지, 아니면 조사대상 변동이나 집계기준 변경에 따른 것인지 확인할 필요가 있다.
가동률 하락이 일시적 생산조정인지 수주·수요 감소에 따른 것인지 확인할 필요가 있다.
창원시 제조업 전체에서 입직자 감소가 함께 관측되므로, 고용 감소가 신규 채용 둔화와 함께 나타나는지 확인할 필요가 있다.
가동률 하락과 창원시 제조업 전력사용 감소가 함께 나타나 실제 생산활동 위축 여부를 추가 확인할 필요가 있다. 다만 전력은 시 전체 제조업 총계이므로 이 업종의 값이 아니다.
경남 제조업 업황 심리지수가 기준선(100)을 밑돌아, 업종 고유 요인인지 지역 전반의 경기 흐름인지 구분해 확인할 필요가 있다.
이 업종은 생산자물가지수 대응 후보가 복수이거나 없어, PPI 조정 생산을 단일값으로 해석하지 않고 원자료로 확인할 필요가 있다.
업체수·고용 규모가 작아 비율 변동이 크게 나타난다. 절대 증감 개수로 다시 확인할 필요가 있다.
이 분기는 월별 원자료가 공표되지 않아 분기 내 지속 여부를 확인할 수 없다. 분기말 단일시점 값에만 의존한 판단임을 감안할 필요가 있다.
연간보정 개정본을 사용한 구간이다. 이후 재개정 시 값이 달라질 수 있음을 확인할 필요가 있다.",산업동향 · 기업지원 / 고용지원 · 직업훈련 / 산업동향
기타,2023Q3,추가확인,고용감소 12.4%(상위경계 10% 통과) · 산단평균 대비 10.5%p 열위(상위경계 통과) [상위경계 통과했으나 고용 170인 < 300인으로 우선점검 제외],24.0,12.371134020618555,41.42301299928807,8.0,PRIORITY,D_small_indifference (same archived run as compatible CAI),추가확인군 내 우선 검토(우선점검으로 자동 승격하지 않음),3 파라미터 민감 우선검토 후보,0.0830945558739255,0.0166189111747851,0.9002865329512894,0.0,,OBSERVE|CHECK|PRIORITY,3,True,CAI는 명시한 호환 파라미터 표집에서의 배정 비중이며 위기확률·정답률이 아님,DRAFT,D,,False,False,True,True,True,False,ELECTRE 이후 해석·교차확인; 판정 가중치나 veto로 사용하지 않음,"가동률 하락이 일시적 생산조정인지 수주·수요 감소에 따른 것인지 확인할 필요가 있다.
가동률 하락과 창원시 제조업 전력사용 감소가 함께 나타나 실제 생산활동 위축 여부를 추가 확인할 필요가 있다. 다만 전력은 시 전체 제조업 총계이므로 이 업종의 값이 아니다.
경남 제조업 업황 심리지수가 기준선(100)을 밑돌아, 업종 고유 요인인지 지역 전반의 경기 흐름인지 구분해 확인할 필요가 있다.
이 업종은 생산자물가지수 대응 후보가 복수이거나 없어, PPI 조정 생산을 단일값으로 해석하지 않고 원자료로 확인할 필요가 있다.
업체수·고용 규모가 작아 비율 변동이 크게 나타난다. 절대 증감 개수로 다시 확인할 필요가 있다.
이 분기는 월별 원자료가 공표되지 않아 분기 내 지속 여부를 확인할 수 없다. 분기말 단일시점 값에만 의존한 판단임을 감안할 필요가 있다.
연간보정 개정본을 사용한 구간이다. 이후 재개정 시 값이 달라질 수 있음을 확인할 필요가 있다.",산업동향 · 기업지원 / 산업동향
