industry,quarter,mrsort_box_only,mrsort_rc,mrsort_rc_vrc_no4,mrsort_rc_vrc,note
기계,2022Q1,OBSERVE|CHECK,CHECK,CHECK,CHECK,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
기계,2022Q2,OBSERVE|CHECK|PRIORITY,CHECK|PRIORITY,CHECK|PRIORITY,CHECK|PRIORITY,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
기계,2022Q3,OBSERVE|CHECK|PRIORITY,CHECK|PRIORITY,CHECK|PRIORITY,CHECK|PRIORITY,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
기계,2022Q4,CHECK|PRIORITY,CHECK|PRIORITY,CHECK|PRIORITY,CHECK|PRIORITY,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
기계,2023Q1,OBSERVE|PRIORITY,PRIORITY,PRIORITY,PRIORITY,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
기계,2023Q2,OBSERVE|PRIORITY,PRIORITY,PRIORITY,PRIORITY,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
기계,2023Q3,OBSERVE|PRIORITY,PRIORITY,PRIORITY,PRIORITY,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
기계,2023Q4,,,,,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
기계,2024Q1,OBSERVE|CHECK,OBSERVE|CHECK,OBSERVE|CHECK,OBSERVE|CHECK,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
기계,2024Q2,OBSERVE,OBSERVE,OBSERVE,OBSERVE,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
기계,2024Q3,OBSERVE,OBSERVE,OBSERVE,OBSERVE,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
기계,2024Q4,,,,,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
기계,2025Q1,OBSERVE,OBSERVE,OBSERVE,OBSERVE,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
기계,2025Q2,OBSERVE,OBSERVE,OBSERVE,OBSERVE,"q=p=0 crisp 공간에서 (w, lambda) 연속 전체를 LP로 정확히 푼 가능 단계"
