dataset,institution,source_url,access_method,previous_status,current_status,status_changed_at,collection_result,failure_reason,observation_period,frequency,geography,industry_unit,role,usable_for_industry_signal,reason_or_limitation,alternative,stored_at,checked_at
KICOX 국가산업단지 산업동향 — 업종별 고용/생산/가동률/가동업체/입주업체,한국산업단지공단,https://www.data.go.kr/data/15085897/fileData.do 외 5건,공공데이터포털 파일데이터 직접 다운로드(인증키 불필요),AVAILABLE,AVAILABLE,,,,2026Q2 공표본(연간보정),분기(2024Q2~) / 그 이전 월별,전국 국가산업단지,KICOX 10업종,기존 입력의 최신 공표본 대조(개정 확인),아니오 — 모형 입력과 동일 계열이라 독립검증 불가,포털은 현재 공표본 1개만 제공. 과거 월별 공표본 재취득 불가,연간보정본 xlsx(data/raw/kicox/revision/),data/raw/external/kicox_datagokr/,2026-09-18
KICOX 전국산업단지현황통계 — 국가산업단지 입주·가동업체수,한국산업단지공단,https://www.data.go.kr/data/15085874/fileData.do,공공데이터포털 파일데이터 직접 다운로드,AVAILABLE,AVAILABLE,,,,2025Q4 공표본,분기,전국 국가산업단지(단지별),없음(단지 단위),단지 단위 업체수 공표 일관성 확인,"아니오 — 업종 구분 없음, 동일 계열",업종별 분해 없음,없음,data/raw/external/kicox_datagokr/,2026-09-18
한국은행 기업경기조사(실적) 제조업 월별 BSI,한국은행,https://ecos.bok.or.kr/,ECOS OpenAPI (ECOS_API_KEY; 미설정 시 공개 sample 키 10건 한도),AVAILABLE,SUPERSEDED,2026-09-19,2026-09-19 실제 ECOS_API_KEY 수집분으로 대체(아래 신규 행),sample 키(1회 10건)로 받은 전국 제조업 BSI. 기록 보존용,2021-01~2026-08,월,전국(지역 분류축 없음),제조업 전체,거시 배경정보(context),"아니오 — 경남·창원 분해 불가, 업종 대응 불가",512Y013 의 분류축은 업종코드뿐이며 지역축이 없다,경남지역 BSI 는 한국은행 경남본부 보도자료 PDF 로만 공표(자동수집 불가),data/raw/external/bok_bsi/,2026-09-18
경상남도 창원시 공장등록현황,경상남도 창원시,https://www.data.go.kr/data/3066436/fileData.do,공공데이터포털 파일데이터 직접 다운로드,PARTIAL,PARTIAL,,,,2024-12-31 단일 시점,비정기,창원시 전역(산단 내외 구분 없음),KSIC 세세분류 업종명(문자열),업체 구성 맥락(context),"아니오 — 단일 시점이라 YoY 불가, 산단 경계 불일치",시계열이 없어 업체수 증감 신호로 쓸 수 없다,"KICOX firms_in / firms_op (산단 단위, 분기)",data/raw/external/changwon_factory_registry/,2026-09-18
관세청 시군구별 품목별 수출입실적,관세청,https://www.data.go.kr/data/15134343/openapi.do,OpenAPI (DATA_GO_KR_SERVICE_KEY 필요),PARTIAL,PARTIAL,,"2026-09-19 실제 수집 성공. 확인된 HS6 13개 × 2021.01~2026.06, 창원시 810행. 78회 호출 전부 totalCount 대조 완료",업종 전체 집계는 여전히 불가. HsSgn(6자리) 필수인데 HS6 전수목록 API(15049722)에 이 키가 등록되어 있지 않다. 조회기간도 1년 이내 제한,미수집,월,시군구(창원시),HS 6단위,외부수요 확인신호(context),조건부 — HS6→KICOX 전수 대응표 확보 시에만,인증키 미보유. 또한 HsSgn(HS 6단위)이 필수 파라미터여서 업종 집계에 HS6 전수 열거가 필요하다. 근거 없는 6단위 대응은 만들지 않았다,"창원상공회의소 경제동향 보고서의 산단 수출액(단지 총계, 업종 분해 없음)",data/raw/external/customs_trade/,2026-09-18
한국전력 산업분류별 전력사용량,한국전력공사,https://bigdata.kepco.co.kr/cmsmain.do?scode=S01&pcode=000493,"전력데이터개방포털 OpenAPI (KEPCO_API_KEY, query parameter apiKey)",PARTIAL,PARTIAL,2026-09-19,"3종 수집 완료(2026-09-19, 198회 호출·실패 0). 산업분류별 1,386행 (창원시 × KSIC 대분류 × 66개월 전부), 업종별 8,827행 (창원 5개 구 × 36업종 × 53개월), 고객증감 3,804행. 엔드포인트·인자는 포털 로그인 후 OPEN API 소개 화면에서 직접 확인했다 (powerUsage/businessType.do, powerUsage/industryType.do, commonCode.do). 검증: 업종별의 제조업 업종 합계와 산업분류별 KSIC C 제조업이 일치한다 (수준비 0.994~1.000, YoY 상관 0.994) → crosswalk 제조업 범위 실증 확인. 산출 outputs/kepco_robustness/, data/processed/kepco/","(1) 업종별 2020-11~2022-01 원자료 결손 — 공급측 문제라 재수집으로 해결되지 않는다. 업종별 YoY 는 2023Q2 부터만 계산된다. (2) 고객증감(new/expansion/cancel)은 단위 미확정으로 패널에서 제외. 창원 제조업 고객이 약 6천 호인데 분기 최대값이 365,951 이고 전 항목이 0 인 분기도 있어 건수로 성립하지 않는다. 고객 수는 powerUsage 의 custCnt 를 쓴다. (3) 업종 분류체계에 공표 정의·코드표가 없다(official_crosswalk=FALSE).","산업분류별 2021-01~2026-06 (66/66개월 전부) · 업종별 2022-02~2026-06 (53/66개월) · 고객증감 2021-04~2026-06 (54/66개월, 단위 미확정)",월,시군구(산업분류별=창원시) / 행정구(업종별=창원 5개 구),KSIC 대분류 21종(산업분류별) / 한전 자체 업종 38종(업종별),CONTEXT / ACTIVITY (보조·강건성). Triage 판정변수 아님,"아니오 — 업종별 API 로 KICOX 10업종 대응은 가능하나(등급 B 2 / C 8), 2023Q2~2026Q2 13분기에서 생산·고용 YoY 와의 방향 일치율이 50~55%로 우연 수준이고 BH-FDR 보정 후 유의 업종이 0/20 이다. 확인신호로 쓰지 않는다",공간단위가 행정구까지다(산단 경계 아님). 업종별 원자료가 2020-11~2022-01 15개월 공급측 결손(창원 5개 구 중 2개만 반환)이라 분석기간 앞 5개 분기를 덮지 못한다. 전력사용량은 조업강도 proxy 일 뿐 생산량이 아니다,없음(가동률 KICOX 공표치로 대체 불가 — 개념이 다름),data/raw/external/kepco/,2026-09-18
KOSIS 고용보험 피보험자·취득·상실,고용노동부 / 한국고용정보원 (KOSIS 수록),https://kosis.kr/openapi/,KOSIS 공유서비스 OpenAPI (KOSIS_API_KEY 필요),NOT_AVAILABLE,PARTIAL,2026-09-19,2026-09-19 인증키로 조회 성공. 다만 고용보험 DB 표가 아니라 사업체노동력조사(지역편) DT_118N_MONA49/59 로 확보 — 창원시 × 제조업 총계 × 반기 입직/이직/빈일자리/종사자 238행,고용보험 DB 기반 시군구×산업중분류 피보험자/취득/상실 표는 KOSIS 에 없다. 창원시 지역통계(org 791) 4종은 표는 있으나 OpenAPI 가 err=30 반환,미수집,월,시군구,KSIC,고용 교차확인(cross-check),조건부 — 모집단이 창원시 전역이라 방향 비교만,"인증키 없이 호출하면 {""err"":""10"",""errMsg"":""인증KEY값이 누락되었습니다.""} 만 반환(실측 확인)",고용행정통계(EIS) 화면 조회분 data/raw/eis/ + 창원상의 보고서 업종별 수치,data/raw/external/employment_insurance/,2026-09-18
고용유지지원금 신청·승인·지급 (지역×업종×월),고용노동부 / 근로복지공단,"https://www.data.go.kr (파일·OpenAPI 검색), https://kosis.kr",포털 검색 후 상세페이지 확인,NOT_AVAILABLE,NOT_AVAILABLE,,,,—,—,—,—,행정 대응 이력 기반 외부 준거 후보,아니오,"검색 결과 지역×업종×월 단위 고용유지지원금 공개자료를 찾지 못했다. 근접 자료는 '고용장려금 지원현황(월)'(2020년 공표 중단, OpenAPI)과 '장애인 신규고용장려금 업종별 지역별'(연 1회, KSIC 대분류)뿐이며 둘 다 고용유지지원금이 아니다",정보공개청구(고용노동부 창원지청) 필요,—,2026-09-18
"산업단지 입주계약 체결·해지, 휴폐업, 가동/비가동 전환 이벤트",한국산업단지공단 / 산업입지정보시스템,"https://www.data.go.kr (검색), https://www.industryland.or.kr/",포털 검색 및 사이트 확인,NOT_AVAILABLE,NOT_AVAILABLE,,,,—,—,—,—,업체 이탈 확인(event),아니오,공개된 것은 지자체별 '산업단지 입주기업 현황' 명부 스냅샷뿐이며 창원국가산단의 계약해지·휴폐업 이벤트 시계열은 없다. KICOX 산업동향의 firms_in/firms_op 증감이 사실상 유일한 집계 경로이며 이는 모형 입력과 같은 자료다,정보공개청구 또는 현장 확인,—,2026-09-18
워크넷 구인인원·구인배수 (지역×업종×월),한국고용정보원,https://www.data.go.kr/data/15067938/openapi.do,OpenAPI (인증키 필요),NOT_AVAILABLE,NOT_AVAILABLE,,,,미수집,월,시군구,KSIC,채용 감소 vs 이직 증가 구분(후보),조건부,인증키 미보유. 포털 등록 정보가 2021-04 기준으로 갱신이 불확실,"고용보험 취득·상실자 수(KOSIS, 역시 인증키 필요)",—,2026-09-18
